rate_total,seed,gap_next,cens_1.25_base,cens_1.25_b2,cens_1.25,censW_1.25,d_frac_1.25,cens_1.5_base,cens_1.5_b2,cens_1.5,censW_1.5,d_frac_1.5
6.0,0,3.499999999999801,False,False,False,True,0.0,False,False,False,True,0.0
6.0,0,3.1999999999998465,False,False,False,True,0.0,False,False,False,True,0.0
6.0,0,1.3000000000003524,True,True,True,True,0.0,True,True,True,True,0.0
6.0,0,1.3000000000004093,True,True,True,True,0.07692307692307687,True,True,True,True,0.0
6.0,0,2.6999999999998323,True,False,True,True,0.0,False,False,False,True,0.0
6.0,0,1.3999999999999204,True,True,True,True,0.1785714285714286,True,True,True,True,0.0
6.0,0,1.1999999999999602,True,True,True,True,0.0,True,True,True,True,-0.08333333333333337
6.0,0,2.700000000000287,True,False,True,True,0.0,False,False,False,True,0.0
6.0,0,1.299999999999912,True,False,True,True,0.4230769230769231,False,False,False,False,0.0
6.0,0,7.999999999999986,False,False,False,True,0.0,False,False,False,True,0.033333333333333326
6.0,0,1.899999999999892,True,True,True,True,0.0,False,False,False,True,-0.06666666666666665
6.0,0,6.100000000000108,False,False,False,True,0.0,False,False,False,True,0.033333333333333326
6.0,0,0.9999999999999432,True,True,True,True,0.0,True,True,True,True,0.0
6.0,1,8.0,False,False,False,True,0.0,False,False,False,True,0.0
6.0,1,2.10000000000003,True,True,True,True,0.0,False,False,False,True,0.0
6.0,1,4.4000000000000625,False,False,False,True,0.0,False,False,False,True,0.0
6.0,1,1.4999999999999076,True,True,True,True,0.0,True,True,True,True,0.0
6.0,1,1.8999999999999133,True,True,True,True,0.0,False,False,False,True,0.0
6.0,1,3.2000000000000313,True,False,True,True,0.0,False,False,False,True,0.0
6.0,1,4.799999999999969,False,False,False,True,0.06666666666666665,False,False,False,True,0.0
6.0,1,4.799999999999486,False,False,False,True,0.0,False,False,False,True,0.0
6.0,1,3.2000000000005144,True,False,True,True,0.0,False,False,False,True,0.0
6.0,1,0.20000000000011653,True,False,True,True,0.41666666666666663,False,False,False,True,0.0
6.0,1,3.5000000000002416,True,False,True,True,0.033333333333333326,False,False,False,True,0.0
6.0,1,8.0,False,False,False,True,0.0,False,False,False,True,0.0
6.0,1,7.9999999999995595,False,False,False,True,0.0,False,False,False,True,0.0
6.0,1,8.0,False,False,False,True,0.0,False,False,False,True,0.0
