method,rate_total,seed,t_fail,node,w_e,gap_next,gap_prev,lb_max,w_clip_floor,w_full,gmax_pre,egap_pre,alive_pre,gmax_peak,t_peak_rel,gmax_first,alive_first,gap_rad_first,floor_first,gap_rad_peak,alive_peak,arc_peak_m,geom_floor,n_concurrent,peak_late,m_nvals,m_shift,m_unstable,isolated,rel_floor,at_floor,above_floor,below_floor
baseline,12.0,0,52.600000000000506,22,1.5,8.0,27.20000000000053,0.9859044755051526,False,True,1.0287698874836375,0.0203088918149214,24.0,1.8657535071946445,0.2999999999986258,1.86565647193632,23.0,0.5096637101180344,1.9130434782608696,0.509690218401051,23.0,10.19380436802102,1.9130434782608696,0,False,2,-1.0,False,True,0.9752802423972005,False,False,True
baseline,12.0,0,66.80000000000048,2,1.5,5.09999999999971,6.199999999999974,0.9953389528821797,False,True,1.0386145595292309,0.0324958151835483,24.0,1.9083620636321008,0.2999999999978513,1.9083620636321008,23.0,0.5213301077822665,1.9130434782608696,0.5213301077822665,23.0,10.42660215564533,1.9130434782608696,0,False,2,-1.0,False,True,0.9975528968985982,True,False,False
baseline,12.0,0,71.90000000000019,15,1.5,2.90000000000029,5.09999999999971,1.0788176971730234,False,True,1.1278548652263427,0.0624849873067354,23.0,1.855044181591776,0.2999999999978513,1.855044181591776,22.0,0.5297993793612013,1.9090909090909092,0.5297993793612013,22.0,10.595987587224025,1.9090909090909092,0,False,2,-1.0,False,True,0.971689809405216,False,False,True
baseline,12.0,0,75.39999999999999,24,1.5,3.099999999999824,0.5999999999995111,1.1936987781249064,False,True,1.2479578134942204,0.1545173334251604,23.0,1.93209807060928,0.2999999999978513,1.93209807060928,22.0,0.5518059186037387,1.9090909090909092,0.5518059186037387,22.0,11.036118372074775,1.9090909090909092,1,False,2,-1.0,False,False,1.0120513703191467,True,False,False
baseline,12.0,0,78.49999999999982,5,0.6,0.10000000000002274,3.099999999999824,1.1095283964140583,True,False,1.1623630819575848,0.0725969244234915,22.0,1.822010717491077,0.5499999999978371,1.7695608776141185,21.0,0.5294513764945163,1.9047619047619047,0.5724015484831835,20.0,11.44803096966367,1.9,1,True,3,-2.0,True,False,0.95895300920583,False,False,True
baseline,12.0,0,78.59999999999984,21,1.3000000000003524,1.3000000000003524,0.10000000000002274,1.1031348027210504,False,False,1.155665031422053,0.0704429693124568,22.0,1.822010717491077,0.44999999999781437,1.7695608776141185,21.0,0.5294513764945163,1.9047619047619047,0.5724015484831835,20.0,11.44803096966367,1.9,1,False,3,-2.0,True,False,0.95895300920583,False,False,True
baseline,12.0,0,85.29999999999943,12,1.2000000000003865,1.2000000000003865,1.8999999999994373,1.1397873183016851,False,False,1.1940629048874796,0.1163404681690649,22.0,1.7469977141569448,0.2999999999978513,1.7469977141569448,21.0,0.5227004937746305,1.9047619047619047,0.5227004937746305,21.0,10.45400987549261,1.9047619047619047,0,False,2,-1.0,False,True,0.9171737999323961,False,False,True
baseline,12.0,0,101.89999999999849,8,1.5,2.6999999999998323,8.599999999999042,0.9831428864158397,False,True,1.0258882293034848,0.0169970429349334,24.0,1.9546394077953635,0.2999999999978513,1.9546394077953635,23.0,0.5339722438214798,1.9130434782608696,0.5339722438214798,23.0,10.679444876429596,1.9130434782608696,0,False,2,-1.0,False,True,1.0217433268021219,False,True,False
baseline,12.0,0,104.59999999999832,23,1.3999999999999204,1.3999999999999204,2.6999999999998323,1.2072793202428234,False,False,1.2621556529811335,0.1016369500026522,23.0,1.791406756329084,0.29999999999786553,1.791406756329084,22.0,0.5116245732067792,1.9090909090909092,0.5116245732067792,22.0,10.232491464135585,1.9090909090909092,0,False,2,-1.0,False,True,0.9383559199819012,False,False,True
baseline,12.0,0,105.99999999999824,7,1.5,3.9000000000002473,1.3999999999999204,1.473551046014303,False,True,1.5437201434435557,0.1418599478195057,22.0,2.101215063903445,0.29999999999786553,2.101215063903445,21.0,0.6286820769877401,1.9047619047619047,0.6286820769877401,21.0,12.573641539754803,1.9047619047619047,0,False,2,-1.0,False,True,1.1031379085493087,False,True,False
baseline,12.0,0,112.69999999999833,23,1.299999999999912,1.299999999999912,0.10000000000000853,1.1438892943902579,False,False,1.1958842623170878,0.1656191390509496,23.0,1.191340073932358,0.04999999999741078,1.1249320057900818,22.0,0.3212798295616501,1.9090909090909092,0.3254526281906971,23.0,6.509052563813942,1.9130434782608696,1,False,2,0.0,True,False,0.622745947737369,False,False,True
baseline,12.0,0,115.19999999999764,22,1.5,5.500000000000682,1.199999999999406,1.0807422171965064,False,True,1.1298668634327111,0.1240890703072356,23.0,2.0716354443827747,0.2999999999979366,2.0716354443827747,22.0,0.5916576993626501,1.9090909090909092,0.5916576993626501,22.0,11.833153987253002,1.9090909090909092,0,False,2,-1.0,False,True,1.0851423756290723,False,True,False
baseline,12.0,0,121.59999999999737,25,1.5,1.6000000000002785,0.8999999999990393,1.168996644707371,False,True,1.2221328558304334,0.144727868663227,23.0,2.105348013753559,0.24999999999785416,2.105348013753559,22.0,0.6012859866598221,1.9090909090909092,0.6012859866598221,22.0,12.025719733196443,1.9090909090909092,1,False,2,-1.0,False,False,1.1028013405375785,False,True,False
baseline,12.0,0,134.29999999999666,20,1.5,6.100000000000108,4.6999999999993065,1.010897387683923,False,True,1.0548494480180066,0.0554850709275744,24.0,1.9429902958809075,0.24999999999968736,1.9429902958809075,23.0,0.5307899164813668,1.9130434782608696,0.5307899164813668,23.0,10.615798329627335,1.9130434782608696,0,False,2,-1.0,False,True,1.0156540183013834,True,False,False
baseline,12.0,0,140.39999999999677,2,0.8999999999999488,0.8999999999999488,6.100000000000108,1.0744672977421197,False,False,1.1233067203667615,0.0563849100137104,23.0,1.7655573847451644,0.3500000000009891,1.765079221128092,22.0,0.5041054467363644,1.9090909090909092,0.5042420099460561,22.0,10.084840198921121,1.9090909090909092,0,False,2,-1.0,False,True,0.9248157729617528,False,False,True
