method,rate_total,seed,gmax_avg,gmax_p90,gmax_p99,gmax_max,egap_avg,n_samples,frac_gt_1.25,frac_gt_1.5,frac_gt_1.75,frac_gt_2
baseline,12.0,0,1.2436187835291073,1.69199269624844,2.0169468891858062,2.105348013753559,0.1002951496221858,2700,0.3088888888888889,0.1574074074074074,0.07629629629629629,0.011481481481481481
baseline,12.0,1,1.3704721403859492,1.8572565542286563,2.2529214159198157,2.519765808271978,0.13900443909237353,2700,0.5170370370370371,0.2840740740740741,0.16444444444444445,0.05
baseline,12.0,2,1.3470893784889877,1.836772444036779,2.1077542213977125,2.258839467535642,0.13173255305537407,2700,0.48814814814814816,0.2607407407407407,0.1411111111111111,0.03259259259259259
baseline,12.0,3,1.4454441503130895,1.9093788804781302,2.1566913579658857,2.3575764895878595,0.16407400333278052,2700,0.6796296296296296,0.3522222222222222,0.20222222222222222,0.05074074074074074
baseline,12.0,4,1.36094912247383,1.865357671043865,2.6771583616172805,3.0378827909658903,0.12900473675540897,2700,0.43666666666666665,0.2762962962962963,0.14666666666666667,0.0437037037037037
baseline,12.0,5,1.31143926739613,1.7727020655326025,2.287963688627872,2.579552534860027,0.11470827577308008,2700,0.397037037037037,0.23222222222222222,0.11444444444444445,0.03
baseline,12.0,6,1.3253092913270599,1.794864006310055,2.077221588928369,2.178596972824996,0.12040331671446175,2700,0.44185185185185183,0.2225925925925926,0.12185185185185185,0.016666666666666666
baseline,12.0,7,1.3413581150283007,1.8462213618576166,2.2613617826745225,2.788815434807508,0.12956021508863683,2700,0.43,0.25666666666666665,0.14222222222222222,0.03740740740740741
baseline,24.0,0,1.4657679514543485,1.9079867118916816,2.5433333901986264,2.760832787946788,0.17300104537426167,2700,0.7003703703703704,0.33037037037037037,0.1925925925925926,0.07333333333333333
baseline,24.0,1,1.54257126028586,2.012918026714813,2.444571155843297,3.118092206996188,0.20513803642206455,2700,0.8007407407407408,0.44962962962962966,0.27037037037037037,0.10925925925925926
baseline,24.0,2,1.5894979439150316,2.058333192491706,2.9032414539379405,3.0254738371667944,0.21313396944516974,2700,0.8277777777777777,0.5025925925925926,0.31851851851851853,0.12814814814814815
baseline,24.0,3,1.5505781711811488,2.0096909110069556,2.3431562848549388,2.468448225596798,0.20894641656163454,2700,0.8592592592592593,0.46111111111111114,0.2633333333333333,0.1037037037037037
baseline,24.0,4,1.5414358910620818,2.026452203882817,2.5841366463686977,3.197800068337066,0.19626768372896353,2700,0.7977777777777778,0.43444444444444447,0.25703703703703706,0.10703703703703704
baseline,24.0,5,1.4394884544026183,1.9249824363253156,2.5275198914773314,2.8915953297119423,0.1594243359424007,2700,0.6003703703703703,0.3337037037037037,0.1874074074074074,0.07777777777777778
baseline,24.0,6,1.469261085082137,1.9182635593021415,2.4462010228041406,2.770280650182416,0.17708166503876596,2700,0.6737037037037037,0.37925925925925924,0.2088888888888889,0.06296296296296296
baseline,24.0,7,1.5488156242443414,1.989744679380592,2.5333632043147007,2.9799491533831,0.20005762594794232,2700,0.7862962962962963,0.4985185185185185,0.27185185185185184,0.09259259259259259
