metric,rate_total,seed,pi2,baseline,B2,ratio
egap_avg,6.0,0,0.8,0.080685662383165,0.0609696819390296,1.3233735164282407
egap_avg,6.0,1,0.8,0.0974709066932041,0.0775801872771133,1.256389164736635
egap_avg,6.0,2,0.8,0.077275191082246,0.0616634526052697,1.2531765221923712
egap_avg,6.0,3,0.8,0.1266772812094873,0.1021392136368867,1.2402413989580479
egap_avg,6.0,4,0.8,0.1032442941057798,0.0773252438035875,1.3351951966427527
egap_avg,6.0,5,0.8,0.0677591439060731,0.0513073468470602,1.320651876778063
egap_avg,6.0,6,0.8,0.0794256700818801,0.0602226920826472,1.3188661505347437
egap_avg,6.0,7,0.8,0.0832046296221594,0.0635531116284784,1.3092140965270231
egap_avg,12.0,0,1.6,0.1002951496221858,0.0781006083658937,1.284178852388868
egap_avg,12.0,1,1.6,0.1390044390923735,0.1214280931855103,1.1447469481383616
egap_avg,12.0,2,1.6,0.131732553055374,0.1091332935321477,1.2070794236276685
egap_avg,12.0,3,1.6,0.1640740033327805,0.139523582500337,1.1759589339127254
egap_avg,12.0,4,1.6,0.1290047367554089,0.103617047227656,1.2450146014291825
egap_avg,12.0,5,1.6,0.11470827577308,0.0919162469322624,1.247965181363575
egap_avg,12.0,6,1.6,0.1204033167144617,0.1012788417615039,1.188829913734529
egap_avg,12.0,7,1.6,0.1295602150886368,0.0998409082496333,1.297666631444257
egap_avg,24.0,0,3.2,0.1730010453742616,0.1503173186660377,1.1509056102751585
egap_avg,24.0,1,3.2,0.2051380364220645,0.1841855613127408,1.1137574246319293
egap_avg,24.0,2,3.2,0.2131339694451697,0.1779909074148958,1.1974430185265343
egap_avg,24.0,3,3.2,0.2089464165616345,0.1739925153885749,1.2008931309200144
egap_avg,24.0,4,3.2,0.1962676837289635,0.169949288557401,1.1548602844705254
egap_avg,24.0,5,3.2,0.1594243359424007,0.1369676745544613,1.1639559221618394
egap_avg,24.0,6,3.2,0.1770816650387659,0.1534284161364405,1.1541647205775174
egap_avg,24.0,7,3.2,0.2000576259479423,0.1737607484819545,1.1513395729227007
egap_avg,48.0,0,6.4,0.2622020296448668,0.2260082416128677,1.1601436645571352
egap_avg,48.0,1,6.4,0.3113218682850883,0.2803333855311189,1.1105415350200214
egap_avg,48.0,2,6.4,0.281293882066121,0.2475683371574532,1.13622721425486
egap_avg,48.0,3,6.4,0.3057186727379173,0.276598660824174,1.1052789331191089
egap_avg,48.0,4,6.4,0.2938988088962147,0.2589100498283442,1.1351386672362385
egap_avg,48.0,5,6.4,0.2571075791447952,0.2177068079378275,1.1809808870020257
egap_avg,48.0,6,6.4,0.2658134861582034,0.2343473309467067,1.1342714469346888
egap_avg,48.0,7,6.4,0.2867073979578569,0.2423294955924288,1.183130420244289
egap_p90,6.0,0,0.8,0.1826391574756667,0.1696467350893848,1.07658516021211
