metric,rate_total,n,pi2,pi2_renewal,base_median,b2_median,ratio_median,ratio_q25,ratio_q75,ratio_min,ratio_max,ratio_mean,mean_ratio,w_stat,p_value,z,r_effect,n_lose,note
egap_avg,6.0,8,0.8,0.7741935483870968,0.0819451460026622,0.06260828211687405,1.3140401235308834,1.255586004100569,1.3213322866906074,1.2402413989580479,1.3351951966427527,1.2946384903497348,1.2901823841778728,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,0,
egap_avg,12.0,8,1.6,1.5,0.12928247592202285,0.10244794449457995,1.2260470125284255,1.1856121687790782,1.2570185991198983,1.1447469481383616,1.297666631444257,1.223930060754896,1.2177268687092673,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,0,
egap_avg,24.0,8,3.2,2.823529411764706,0.1981626548384529,0.17185501851967774,1.1545125025240215,1.1512310822608152,1.1723276962530131,1.1137574246319293,1.2008931309200144,1.1609149605607774,1.1608810886991405,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,0,
egap_avg,48.0,8,6.4,5.052631578947369,0.28400064001198894,0.24494891637494098,1.135682940745549,1.128338968956022,1.1653529701683578,1.1052789331191089,1.183130420244289,1.143214096046046,1.1412748710533254,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,0,
egap_p90,6.0,8,0.8,0.7741935483870968,0.18111587015518776,0.17075282162399624,1.0449421339122797,1.0257909259411682,1.055202087782324,0.9957971351376723,1.0834554189547505,1.0425748457382222,1.0426164968479805,1.0,0.015625,-2.3804761428476167,0.8416254115301731,1,
egap_p90,12.0,8,1.6,1.5,0.2294098146811264,0.21123749572827327,1.0526746291028972,1.045766042417552,1.070528269665771,1.0259513809109049,1.1049304638501363,1.060949326401991,1.0608711309815209,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,0,
egap_p90,24.0,8,3.2,2.823529411764706,0.2955732590409206,0.2736766113140094,1.0886354877473923,1.060651076662729,1.100069202357937,1.0275049712449418,1.122444101444878,1.0798889595852412,1.0787114079925308,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,0,
egap_p90,48.0,8,6.4,5.052631578947369,0.41788182326781886,0.3675070472991556,1.1288164621123502,1.1098844518219557,1.1442526010340757,1.0594113263362244,1.1834806835542613,1.1236050678016642,1.1227371021210197,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,0,
egap_max,6.0,8,0.8,0.7741935483870968,0.2987270363348863,0.2877865788601547,0.9883651896248322,0.9560415373807873,1.0932269423816838,0.9195295917065182,1.1905328706199807,1.0266301526907289,1.0321522526439069,17.0,0.9453125,-0.14002800840280097,0.04950737714883371,5,
egap_max,12.0,8,1.6,1.5,0.38466984832187995,0.3270358679132024,1.0611741324594548,0.9886327242846786,1.312495753665782,0.8456267369949353,1.4037389150258097,1.1249946380053077,1.1102937653179858,9.0,0.25,-1.2602520756252087,0.44556639433950335,3,
egap_max,24.0,8,3.2,2.823529411764706,0.4830073246784121,0.4067489899055789,1.1545026659582303,1.10574018346046,1.1863183257518168,0.996098486268149,1.3487558534687676,1.152965715424959,1.1535357005303866,1.0,0.015625,-2.3804761428476167,0.8416254115301731,1,
egap_max,48.0,8,6.4,5.052631578947369,0.6144376750377017,0.6295828501192302,0.9841689756555385,0.9640738892696386,1.161747719764611,0.9082372816100509,1.461327889329953,1.0810049537555366,1.0698188814826095,15.0,0.7421875,-0.42008402520840293,0.14852213144650114,5,
