method,rate_total,seed,t_fail,node,w_e,gap_next,n_amostras,area_1.25,frac_1.25,arearad_1.25,arcom_1.25,tclose_1.25,cens_1.25,area_1.5,frac_1.5,arearad_1.5,arcom_1.5,tclose_1.5,cens_1.5
baseline,12.0,0,52.600000000000506,22,1.5,8.0,30,0.6648145604606858,0.8666666666666667,0.18161535122981026,3.632307024596205,,True,0.33981456046070435,0.8666666666666667,0.09283121101966894,1.856624220393379,,True
baseline,12.0,0,66.80000000000048,2,1.5,5.09999999999971,30,0.6834344229506825,0.8333333333333334,0.1867019619436733,3.734039238873466,,True,0.37093442295070006,0.8333333333333334,0.101332596356999,2.02665192713998,,True
baseline,12.0,0,71.90000000000019,15,1.5,2.90000000000029,30,0.627891236216458,0.8333333333333334,0.1793253177228216,3.5865063544564317,,True,0.31539123621647586,0.8333333333333334,0.09007552642766217,1.8015105285532433,,True
baseline,12.0,0,75.39999999999999,24,1.5,3.099999999999824,30,0.5855599976621219,0.8333333333333334,0.1672355442628525,3.34471088525705,,True,0.2772639772239716,0.7333333333333333,0.07918640672290156,1.5837281344580312,1.3999999999977888,False
baseline,12.0,0,78.49999999999982,5,0.6,0.10000000000002274,12,0.1964919931385199,0.5833333333333334,0.06134114958565111,1.2268229917130222,,True,0.10899199313852485,0.5833333333333334,0.03403921342945566,0.6807842685891131,,True
baseline,12.0,0,78.59999999999984,21,1.3000000000003524,1.3000000000003524,26,0.6021065632775142,0.8846153846153846,0.18876872495941574,3.775374499188315,,True,0.3146065632775305,0.8846153846153846,0.098634935731428,1.97269871462856,,True
baseline,12.0,0,85.29999999999943,12,1.2000000000003865,1.2000000000003865,24,0.42755835092928796,0.7916666666666666,0.1279251594533731,2.558503189067462,,True,0.19005835092930146,0.7916666666666666,0.056865325622179476,1.1373065124435895,,True
baseline,12.0,0,101.89999999999849,8,1.5,2.6999999999998323,30,0.7444234185218948,0.8333333333333334,0.20336305589465953,4.067261117893191,,True,0.4319234185219127,0.8333333333333334,0.11799369030798525,2.359873806159705,,True
baseline,12.0,0,104.59999999999832,23,1.3999999999999204,1.3999999999999204,28,0.524700028993142,1.0,0.1497927395531103,2.9958547910622055,,True,0.23226836136300746,0.8214285714285714,0.06633568888357853,1.3267137776715707,,True
baseline,12.0,0,105.99999999999824,7,1.5,3.9000000000002473,30,0.9780305696473368,1.0,0.2918183510669768,5.8363670213395356,,True,0.6077150535225821,0.9,0.18180649691731687,3.6361299383463375,,True
baseline,12.0,0,112.69999999999833,23,1.299999999999912,1.299999999999912,26,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False
baseline,12.0,0,115.19999999999764,22,1.5,5.500000000000682,30,0.8776323002164189,0.8333333333333334,0.25065119881027387,5.013023976205478,,True,0.5651323002164366,0.8333333333333334,0.1614014075151145,3.22802815030229,,True
baseline,12.0,0,121.59999999999737,25,1.5,1.6000000000002785,30,0.7361067350128779,0.8666666666666667,0.2102315919067659,4.2046318381353185,,True,0.4111067350128964,0.8666666666666667,0.1174118089598001,2.348236179196002,,True
baseline,12.0,0,134.29999999999666,20,1.5,6.100000000000108,30,0.7342172736571866,0.8666666666666667,0.20057492113566466,4.011498422713293,,True,0.4092172736572051,0.8666666666666667,0.11179078092552343,2.2358156185104687,,True
baseline,12.0,0,140.39999999999677,2,0.8999999999999488,0.8999999999999488,18,0.32142704817499523,0.7222222222222222,0.09179935029196525,1.8359870058393049,,True,0.15892704817500455,0.7222222222222222,0.045389458818482324,0.9077891763696465,,True
baseline,12.0,0,141.29999999999671,8,0.9999999999999432,0.9999999999999432,20,0.47828817046891103,1.0,0.14172286431369188,2.8344572862738375,,True,0.22828817046892533,1.0,0.06777303724055979,1.3554607448111957,,True
baseline,12.0,0,142.8999999999962,19,1.5,5.500000000000568,30,0.26709423938001386,0.9333333333333333,0.07922495317865763,1.5844990635731526,1.4000000000023505,False,0.0161154661226173,0.3333333333333333,0.004794157141709837,0.09588314283419674,0.6000000000021686,False
baseline,12.0,1,24.100000000000072,18,0.6,0.40000000000000924,12,0.2632867181303241,0.6666666666666666,0.0719251843013907,1.438503686027814,,True,0.16328671813032983,0.6666666666666666,0.044606987313654894,0.8921397462730979,,True
baseline,12.0,1,24.50000000000008,13,0.6,0.40000000000000213,12,0.361144002316669,1.0,0.1015270539677553,2.030541079355106,,True,0.21114400231667754,1.0,0.059308022259436384,1.1861604451887278,,True
baseline,12.0,1,24.900000000000084,7,1.5,3.2000000000000455,30,0.6347508932456188,1.0,0.18836418890748136,3.7672837781496273,,True,0.26201901234141217,0.9333333333333333,0.07752306933569589,1.5504613867139176,1.400000000000155,False
baseline,12.0,1,28.10000000000013,19,1.5,3.999999999999943,30,0.8031192488356801,0.8666666666666667,0.2523073532098726,5.046147064197451,,True,0.47811924883569856,0.8666666666666667,0.15020559196821004,3.004111839364201,,True
baseline,12.0,1,34.30000000000022,24,1.5,1.799999999999912,30,0.780204491758271,0.8333333333333334,0.222825881782322,4.45651763564644,,True,0.4677044917582887,0.8333333333333334,0.13357609048716262,2.6715218097432523,,True
baseline,12.0,1,36.80000000000025,5,1.5,1.900000000000027,30,0.5679600619758989,1.0,0.16172828350653531,3.2345656701307064,,True,0.21674564999351673,0.8333333333333334,0.06190241288337971,1.2380482576675942,,True
baseline,12.0,1,38.70000000000028,4,1.4999999999999076,1.4999999999999076,30,1.233821404375238,1.0,0.36879233951285767,7.375846790257153,,True,0.8943977073678704,0.8333333333333334,0.26760316827185293,5.352063365437059,,True
baseline,12.0,1,40.20000000000019,7,0.6,0.20000000000011653,12,0.493800484172632,1.0,0.15518883452182233,3.1037766904364466,,True,0.34380048417264053,1.0,0.10819289178720322,2.1638578357440643,,True
baseline,12.0,1,40.400000000000304,14,0.6,0.30000000000000426,12,0.5201378592071046,1.0,0.16883541128022875,3.376708225604575,,True,0.3701378592071132,1.0,0.12003508680012691,2.4007017360025382,,True
baseline,12.0,1,40.70000000000031,17,1.5,1.599999999999909,30,0.9798993744282121,1.0,0.33819926753757085,6.763985350751417,,True,0.6048993744282333,1.0,0.2084478165669473,4.168956331338946,,True
baseline,12.0,1,55.80000000000052,15,1.5,5.10000000000008,30,0.6240459674307046,0.8333333333333334,0.170478106676751,3.40956213353502,,True,0.31154596743072227,0.8333333333333334,0.08510874109007668,1.7021748218015338,,True
baseline,12.0,1,60.9000000000006,23,1.5,2.8999999999999204,30,0.670263238200734,0.8333333333333334,0.19142673319115736,3.828534663823147,,True,0.35776323820075173,0.8333333333333334,0.10217694189599796,2.043538837919959,,True
baseline,12.0,1,64.10000000000063,3,1.499999999999801,1.499999999999801,30,0.6294141916228487,1.0,0.17968805808106483,3.5937611616212966,,True,0.31109856933899105,0.8333333333333334,0.08884954363433359,1.7769908726866719,,True
baseline,12.0,1,65.60000000000043,13,1.5,3.3000000000001677,30,0.47166710187539634,1.0,0.14030612465479456,2.806122493095891,,True,0.1297985879811692,0.7,0.03869930289858978,0.7739860579717955,1.0999999999979195,False
baseline,12.0,1,69.20000000000034,21,0.8999999999999488,0.8999999999999488,18,0.468356083622495,0.7222222222222222,0.1401318125307159,2.8026362506143183,,True,0.3058560836225042,0.7222222222222222,0.09151192622516237,1.8302385245032473,,True
baseline,12.0,1,70.10000000000029,11,1.5,2.000000000000341,30,0.8349912906392443,1.0,0.26025519222947363,5.205103844589472,,True,0.45999129063926547,1.0,0.1433804655334316,2.867609310668632,,True
baseline,12.0,1,76.59999999999981,14,0.6000000000005343,0.6000000000005343,12,0.1978402633402092,0.5833333333333334,0.05919366837084491,1.1838733674168982,,True,0.1103402633402142,0.5833333333333334,0.03301372959093146,0.6602745918186292,,True
baseline,12.0,1,82.8999999999998,23,1.5,1.7000000000000028,30,0.5423576216536901,0.8666666666666667,0.15489697452778767,3.0979394905557536,,True,0.2183123202249597,0.8333333333333334,0.062349852855170536,1.2469970571034108,1.4999999999975415,False
baseline,12.0,1,89.59999999999964,21,1.3000000000001677,1.3000000000001677,26,0.8061355307919701,0.8076923076923077,0.2302317692121601,4.604635384243202,,True,0.543635530791985,0.8076923076923077,0.15526194452422618,3.1052388904845234,,True
baseline,12.0,1,94.09999999999891,9,1.5,2.4999999999998863,30,0.6153746080316783,0.8333333333333334,0.1757505770725471,3.515011541450942,,True,0.30287460803169597,0.8333333333333334,0.0865007857773877,1.7300157155477542,,True
baseline,12.0,1,96.5999999999988,8,1.0000000000008384,1.0000000000008384,20,0.691102179962885,0.75,0.20677728870964668,4.135545774192933,,True,0.5036021799628957,0.75,0.15067741989554648,3.0135483979109297,,True
baseline,12.0,1,99.99999999999837,7,0.6,0.20000000000067075,12,0.44303947080920225,1.0,0.13546709849990587,2.7093419699981176,,True,0.3247910138100194,0.5833333333333334,0.099757422685695,1.9951484537139,,True
baseline,12.0,1,100.19999999999904,11,1.5,1.8999999999998778,30,1.4925487680372038,1.0,0.46588741601374123,9.317748320274825,,True,1.1240639442005258,0.9666666666666667,0.35085641931849515,7.017128386369903,,True
baseline,12.0,1,103.69999999999928,21,0.8999999999995225,0.8999999999995225,18,0.24891879358452723,1.0,0.0775446864931368,1.5508937298627359,,True,0.030908296515666563,0.6666666666666666,0.009710127726859297,0.19420255453718593,0.8499999999969248,False
baseline,12.0,1,106.49999999999812,4,1.5,1.5000000000002416,30,0.9723529065151062,0.8333333333333334,0.3054736747804542,6.109473495609084,,True,0.6598529065151238,0.8333333333333334,0.20729890435577858,4.145978087115571,,True
baseline,12.0,1,114.499999999998,7,0.6999999999997186,0.6999999999997186,14,0.3101082752239281,0.8571428571428571,0.08471377154489039,1.6942754308978079,,True,0.18491341995808713,0.7142857142857143,0.050515012320912205,1.010300246418244,,True
baseline,12.0,1,115.19999999999771,22,1.5,7.300000000000281,30,0.6767385188594146,1.0,0.1915200357234259,3.830400714468518,,True,0.3017385188594359,1.0,0.08519637131093162,1.7039274262186324,,True
baseline,12.0,1,133.69999999999737,7,1.5,8.0,30,0.6332992483091442,0.8666666666666667,0.1730059361749518,3.4601187234990363,,True,0.3082992483091628,0.8666666666666667,0.08422179596481051,1.6844359192962102,,True
baseline,12.0,2,38.70000000000028,20,1.5,1.6000000000000227,30,0.6832614424684167,0.8333333333333334,0.18665470679477766,3.7330941358955534,,True,0.37076144246843457,0.8333333333333334,0.10128534120810334,2.025706824162067,,True
baseline,12.0,2,40.3000000000003,25,1.5,6.399999999999977,30,0.659529571632969,1.0,0.18755849579934555,3.751169915986911,,True,0.2868179773907788,0.9333333333333333,0.08185998257964269,1.6371996515928537,,True
baseline,12.0,2,49.30000000000043,23,0.9000000000000128,0.9000000000000128,18,0.49014617559486917,0.7222222222222222,0.13389909777686732,2.677981955537346,,True,0.32764617559487846,0.7222222222222222,0.08950702767179665,1.790140553435933,,True
