metric,label,vmax,n,n_nonfinite,base_median,b2_median,base_min,base_max,b2_min,b2_max,ratio_median,ratio_min,ratio_max,n_lose,p_value,tau_xy,N
gmax_peak,pico de G_max,2.5,15,0,1.9173825521228924,1.9173825521228924,1.916666885143844,1.924588572022,1.916666885143844,1.924588572022,1.0,1.0,1.0,0,,,
gmax_peak,pico de G_max,5.0,15,0,1.9173825521228924,1.9173825521228924,1.916666885143844,1.924588572022,1.916666885143844,1.924588572022,1.0,1.0,1.0,0,,,
gmax_peak,pico de G_max,10.0,15,0,1.9173825521228924,1.9173825521228924,1.916666885143844,1.924588572022,1.916666885143844,1.924588572022,1.0,1.0,1.0,0,,,
gmax_peak,pico de G_max,20.0,15,0,1.9173825521228924,1.9173825521228924,1.916666885143844,1.924588572022,1.916666885143844,1.924588572022,1.0,1.0,1.0,0,,,
t_close_125,t_close 1.25,,20,0,2.299999999999991,1.7999999999999936,2.249999999999992,2.299999999999991,1.699999999999994,1.7999999999999936,1.2777777777777772,1.25,1.3529411764705876,0,7.185903065707198e-05,0.5,
t_close_125,t_close 1.25,,20,0,3.149999999999993,2.349999999999992,3.0999999999999925,3.2499999999999947,2.249999999999992,2.349999999999992,1.3478260869565237,1.319148936170214,1.4000000000000017,0,8.246690806096905e-05,1.0,
t_close_125,t_close 1.25,,20,0,4.750000000000016,3.349999999999996,4.750000000000016,4.850000000000019,3.349999999999996,3.399999999999997,1.4179104477612006,1.3970588235294177,1.4477611940298583,0,6.829152964949062e-05,2.0,
t_close_125,t_close 1.25,2.5,15,0,3.149999999999993,2.349999999999992,2.249999999999992,4.850000000000019,1.699999999999994,3.399999999999997,1.3529411764705876,1.25,1.4477611940298583,0,0.0006451158437926242,,
t_close_125,t_close 1.25,5.0,15,0,3.149999999999993,2.349999999999992,2.249999999999992,4.850000000000019,1.699999999999994,3.399999999999997,1.3529411764705876,1.25,1.4477611940298583,0,0.0006500242387180628,,
t_close_125,t_close 1.25,10.0,15,0,3.149999999999993,2.349999999999992,2.249999999999992,4.850000000000019,1.699999999999994,3.399999999999997,1.3529411764705876,1.25,1.4477611940298583,0,0.0006500242387180628,,
t_close_125,t_close 1.25,20.0,15,0,3.149999999999993,2.349999999999992,2.249999999999992,4.850000000000019,1.699999999999994,3.399999999999997,1.3529411764705876,1.25,1.4477611940298583,0,0.0006500242387180628,,
