egap_avg,egap_p90,egap_max,method,N,tau_xy,rate_total,off,seed
0.08162794499158253,0.1841361614564696,0.3197164501425695,baseline,24,1.0,6.0,8.0,0
0.06694421813898695,0.1577657020565341,0.2626666159966678,B2,24,1.0,6.0,8.0,0
0.09872696460242504,0.19023549950806715,0.2810700502136347,baseline,24,1.0,6.0,8.0,1
0.1662383546526273,0.3416995128579332,0.40956495502023,B2,24,1.0,6.0,8.0,1
0.0783253034902458,0.1753825006371347,0.2718974598348803,baseline,24,1.0,6.0,8.0,2
0.05718070552489183,0.16373675706056187,0.2648832474858476,B2,24,1.0,6.0,8.0,2
0.10213951571479672,0.1926258466296938,0.2971740362118767,baseline,24,1.0,12.0,8.0,0
0.5076946975576652,0.6418069161586907,0.8276981227722988,B2,24,1.0,12.0,8.0,0
0.14108720298960745,0.24717260270317176,0.4516484896367355,baseline,24,1.0,12.0,8.0,1
0.28012392653014806,0.4371160216579687,0.5487186282968604,B2,24,1.0,12.0,8.0,1
0.13390337175826533,0.24392687162270496,0.3576771065021347,baseline,24,1.0,12.0,8.0,2
0.1467815489664286,0.2663445476784271,0.3855511242275993,B2,24,1.0,12.0,8.0,2
0.17651140039009677,0.27009987414742787,0.4124808769469593,baseline,24,1.0,24.0,8.0,0
0.3461516666446064,0.4878654907743744,0.6289784474345679,B2,24,1.0,24.0,8.0,0
0.20765046472333096,0.30822435760732336,0.5267366244692195,baseline,24,1.0,24.0,8.0,1
0.19619907140069787,0.2863440853730335,0.4276306716653704,B2,24,1.0,24.0,8.0,1
0.21734623260573815,0.32516285368941505,0.5465977597213881,baseline,24,1.0,24.0,8.0,2
0.20140394394031383,0.3095431713956523,0.4984971919017911,B2,24,1.0,24.0,8.0,2
0.26986220045413156,0.389450531556655,0.6611773736925892,baseline,24,1.0,48.0,8.0,0
0.3132400005303309,0.4221868572841898,0.6196085580498835,B2,24,1.0,48.0,8.0,0
0.31369089528252564,0.43536687084224696,0.7015566210400859,baseline,24,1.0,48.0,8.0,1
0.47854453054634827,0.606371103082754,0.9295842167681364,B2,24,1.0,48.0,8.0,1
0.2864174620011846,0.4469605376323848,0.6508882251033692,baseline,24,1.0,48.0,8.0,2
0.34046147094157675,0.5059324802185673,0.727746349409313,B2,24,1.0,48.0,8.0,2
