egap_avg,egap_p90,egap_max,effort_mean_v2,sat_frac,fairness_p95,method,N,tau_xy,rate_total,off,seed
0.08162794499158253,0.1841361614564696,0.3197164501425695,0.00046534309531542906,0.0,0.2265206984180733,baseline,24,1.0,6.0,8.0,0
0.058358680778080846,0.16261400331430684,0.2590871498984445,0.0009809451119921079,0.0,0.2119505673848291,B2,24,1.0,6.0,8.0,0
0.09872696460242504,0.19023549950806715,0.2810700502136347,0.0005233728224569331,0.0,0.2340636311391967,baseline,24,1.0,6.0,8.0,1
0.07247139589723253,0.1842613366512598,0.2990455937629258,0.0015184917054223157,0.0,0.21309605004786658,B2,24,1.0,6.0,8.0,1
0.0783253034902458,0.1753825006371347,0.2718974598348803,0.0004014450377391933,0.0,0.15568453005489125,baseline,24,1.0,6.0,8.0,2
0.05596122059098668,0.15936390785912768,0.2583698333665861,0.000940180513107253,0.0,0.14691812538986035,B2,24,1.0,6.0,8.0,2
0.10213951571479672,0.1926258466296938,0.2971740362118767,0.0006927948358470646,0.0,0.23597825840557948,baseline,24,1.0,12.0,8.0,0
0.0750778484602569,0.1795109435114113,0.2765611922578964,0.0012887733381267258,0.0,0.2558660961356766,B2,24,1.0,12.0,8.0,0
0.14108720298960745,0.24717260270317176,0.4516484896367355,0.001154761938978786,0.0,0.30512953391569714,baseline,24,1.0,12.0,8.0,1
0.11049124308147987,0.22305543157500668,0.3360092531275011,0.0025327262608744383,0.0,0.2663947146312477,B2,24,1.0,12.0,8.0,1
0.13390337175826533,0.24392687162270496,0.3576771065021347,0.001124731347515433,0.0,0.31272431397161465,baseline,24,1.0,12.0,8.0,2
0.10261683626684938,0.21510447958707024,0.3595268710491674,0.0021707757184812144,0.0,0.29537116784247547,B2,24,1.0,12.0,8.0,2
0.17651140039009677,0.27009987414742787,0.4124808769469593,0.0015279191055172312,0.0,0.34746050833530756,baseline,24,1.0,24.0,8.0,0
0.1477389251045386,0.23988919907477313,0.4243884323778576,0.0032188160794105673,0.0,0.3418082494078706,B2,24,1.0,24.0,8.0,0
0.20765046472333096,0.30822435760732336,0.5267366244692195,0.0021666083117449003,0.0,0.38686306459519443,baseline,24,1.0,24.0,8.0,1
0.16738873885724928,0.2691260709216244,0.4407560231207332,0.004375656061267096,0.0,0.3498502534610827,B2,24,1.0,24.0,8.0,1
0.21734623260573815,0.32516285368941505,0.5465977597213881,0.0023947478418859156,0.0,0.3769308963084828,baseline,24,1.0,24.0,8.0,2
0.17828468017110757,0.291849193225693,0.4616616354198111,0.004713269211139251,0.0,0.35962980593110544,B2,24,1.0,24.0,8.0,2
0.26986220045413156,0.389450531556655,0.6611773736925892,0.003227926395680495,0.0,0.7873216861790925,baseline,24,1.0,48.0,8.0,0
0.21018204444647146,0.31774159803282664,0.5040489957556935,0.0062052761098060245,0.0,0.7458455385444285,B2,24,1.0,48.0,8.0,0
0.31369089528252564,0.43536687084224696,0.7015566210400859,0.004276704339100132,0.0,0.47273879257967927,baseline,24,1.0,48.0,8.0,1
0.2672948292716458,0.3807251795231783,0.6686860588680625,0.008790387931432808,0.0,0.4761527764797819,B2,24,1.0,48.0,8.0,1
0.2864174620011846,0.4469605376323848,0.6508882251033692,0.003884670835967018,0.0,0.6442269784606224,baseline,24,1.0,48.0,8.0,2
0.23579594174008336,0.3581321554879924,0.5261391362105711,0.008313527409321123,0.0,0.6623419101878895,B2,24,1.0,48.0,8.0,2
