egap_avg,egap_p90,egap_max,effort_mean_v2,sat_frac,fairness_p95,method,N,tau_xy,rate_total,off,seed
0.1002951496221858,0.19095704986963427,0.2714813857925694,0.0006560323332367939,0.0,0.23121965389180865,baseline,24,1.0,12.0,8.0,0
0.07810060836589378,0.18331139755763365,0.2725690829277452,0.0014751435866982017,0.0,0.2385726130837568,B2,24,1.0,12.0,8.0,0
0.13900443909237353,0.2452297656226081,0.4511888211672019,0.0011061684375474595,0.0,0.30307682498952443,baseline,24,1.0,12.0,8.0,1
0.12142809318551039,0.23902669286811384,0.3284704974279118,0.0026012067141826492,0.0,0.2682902171975345,B2,24,1.0,12.0,8.0,1
0.13173255305537407,0.2407032091385977,0.3570855664946019,0.001062723229518172,0.0,0.30250213833670714,baseline,24,1.0,12.0,8.0,2
0.10913329353214771,0.21827578880524434,0.3694616030280201,0.0023632475409890333,0.0,0.3575608346977433,B2,24,1.0,12.0,8.0,2
0.26220202964486683,0.3768905458646711,0.5157216072741818,0.0031436756938768096,0.0,0.7186076314487158,baseline,24,1.0,48.0,8.0,0
0.22600824161286773,0.3355196256126724,0.5366743017513755,0.006520700935591793,0.0,0.6945458180866833,B2,24,1.0,48.0,8.0,0
0.3113218682850883,0.43758451868210124,0.6839498115167392,0.004326164581653955,0.0,0.45681657986389784,baseline,24,1.0,48.0,8.0,1
0.2803333855311189,0.38923739808739144,0.6901309683059107,0.010198017590607301,0.0,0.532325192543078,B2,24,1.0,48.0,8.0,1
0.281293882066121,0.4413623286725735,0.6013580047828782,0.0035355053509552254,0.0,0.788846324150028,baseline,24,1.0,48.0,8.0,2
0.24756833715745322,0.3729358111254188,0.6230963214206113,0.008596894266192798,0.0,0.48386703329035613,B2,24,1.0,48.0,8.0,2
