egap_avg,egap_p90,egap_max,method,N,tau_xy,rate_total,off,seed
0.08162794499158253,0.1841361614564696,0.3197164501425695,baseline,24,1.0,6.0,8.0,0
0.2239449215788729,0.3389183542136398,0.464774987507767,B2,24,1.0,6.0,8.0,0
0.09872696460242504,0.19023549950806715,0.2810700502136347,baseline,24,1.0,6.0,8.0,1
0.3349843693525018,0.45291430945133926,0.5180632539605216,B2,24,1.0,6.0,8.0,1
0.0783253034902458,0.1753825006371347,0.2718974598348803,baseline,24,1.0,6.0,8.0,2
0.22587333032657606,0.4148416765861114,0.4759968311036639,B2,24,1.0,6.0,8.0,2
0.10213951571479672,0.1926258466296938,0.2971740362118767,baseline,24,1.0,12.0,8.0,0
0.36597455290037006,0.46790007888646606,0.6036605593083696,B2,24,1.0,12.0,8.0,0
0.14108720298960745,0.24717260270317176,0.4516484896367355,baseline,24,1.0,12.0,8.0,1
0.37636537790713537,0.49006283639742504,0.8692142723087134,B2,24,1.0,12.0,8.0,1
0.13390337175826533,0.24392687162270496,0.3576771065021347,baseline,24,1.0,12.0,8.0,2
0.3788804946200579,0.6003943526979781,0.7141639959500705,B2,24,1.0,12.0,8.0,2
0.17651140039009677,0.27009987414742787,0.4124808769469593,baseline,24,1.0,24.0,8.0,0
0.394265356314525,0.4977618617461191,0.6306867954646004,B2,24,1.0,24.0,8.0,0
0.20765046472333096,0.30822435760732336,0.5267366244692195,baseline,24,1.0,24.0,8.0,1
0.4785225934995002,0.6167634954450026,0.8089303357330208,B2,24,1.0,24.0,8.0,1
0.21734623260573815,0.32516285368941505,0.5465977597213881,baseline,24,1.0,24.0,8.0,2
0.4267428365854524,0.5678468265103999,0.7975449277192379,B2,24,1.0,24.0,8.0,2
0.26986220045413156,0.389450531556655,0.6611773736925892,baseline,24,1.0,48.0,8.0,0
0.4871690382809472,0.6321025087150616,0.7679059154928543,B2,24,1.0,48.0,8.0,0
0.31369089528252564,0.43536687084224696,0.7015566210400859,baseline,24,1.0,48.0,8.0,1
0.5620927379122964,0.7145768122828793,0.980413587934344,B2,24,1.0,48.0,8.0,1
0.2864174620011846,0.4469605376323848,0.6508882251033692,baseline,24,1.0,48.0,8.0,2
0.5200084152553375,0.6583292381460788,0.8075902504075669,B2,24,1.0,48.0,8.0,2
