egap_avg,egap_p90,egap_max,method,N,tau_xy,rate_total,off,seed
0.08162794499158253,0.1841361614564696,0.3197164501425695,baseline,24,1.0,6.0,8.0,0
0.06726958662147509,0.1673375851648652,0.2480513447273834,B2,24,1.0,6.0,8.0,0
0.09872696460242504,0.19023549950806715,0.2810700502136347,baseline,24,1.0,6.0,8.0,1
0.09050531504543775,0.198296631332483,0.3170801846638973,B2,24,1.0,6.0,8.0,1
0.0783253034902458,0.1753825006371347,0.2718974598348803,baseline,24,1.0,6.0,8.0,2
0.05718070552489183,0.16373675706056187,0.2648832474858476,B2,24,1.0,6.0,8.0,2
0.10213951571479672,0.1926258466296938,0.2971740362118767,baseline,24,1.0,12.0,8.0,0
0.14844015527732865,0.23156943899101692,0.3466001371156462,B2,24,1.0,12.0,8.0,0
0.14108720298960745,0.24717260270317176,0.4516484896367355,baseline,24,1.0,12.0,8.0,1
0.12348144721729386,0.23086899332012384,0.3340228640553143,B2,24,1.0,12.0,8.0,1
0.13390337175826533,0.24392687162270496,0.3576771065021347,baseline,24,1.0,12.0,8.0,2
0.1493665857921066,0.25671924036611116,0.3418102555939866,B2,24,1.0,12.0,8.0,2
0.17651140039009677,0.27009987414742787,0.4124808769469593,baseline,24,1.0,24.0,8.0,0
0.17825739484194053,0.26241227749350005,0.4623789393998764,B2,24,1.0,24.0,8.0,0
0.20765046472333096,0.30822435760732336,0.5267366244692195,baseline,24,1.0,24.0,8.0,1
0.25642732862046336,0.38070076377100087,0.5672785253589125,B2,24,1.0,24.0,8.0,1
0.21734623260573815,0.32516285368941505,0.5465977597213881,baseline,24,1.0,24.0,8.0,2
0.3144605304751901,0.4414158029474487,0.6313643925165652,B2,24,1.0,24.0,8.0,2
0.26986220045413156,0.389450531556655,0.6611773736925892,baseline,24,1.0,48.0,8.0,0
0.3040960500248826,0.40935965514267575,0.5510700816970147,B2,24,1.0,48.0,8.0,0
0.31369089528252564,0.43536687084224696,0.7015566210400859,baseline,24,1.0,48.0,8.0,1
0.35955461186682397,0.5062623942478803,0.7619454937405383,B2,24,1.0,48.0,8.0,1
0.2864174620011846,0.4469605376323848,0.6508882251033692,baseline,24,1.0,48.0,8.0,2
0.41372413078927006,0.6147824734351918,0.8862496475504908,B2,24,1.0,48.0,8.0,2
