egap_avg,egap_p90,egap_max,method,N,tau_xy,rate_total,off,seed
0.08162794499158253,0.1841361614564696,0.3197164501425695,baseline,24,1.0,6.0,8.0,0
0.0850450493312503,0.18281552753530955,0.3076082400063443,B2,24,1.0,6.0,8.0,0
0.09872696460242504,0.19023549950806715,0.2810700502136347,baseline,24,1.0,6.0,8.0,1
0.12461879670132645,0.23215688151885555,0.3636780749449458,B2,24,1.0,6.0,8.0,1
0.0783253034902458,0.1753825006371347,0.2718974598348803,baseline,24,1.0,6.0,8.0,2
0.06376107621104993,0.16492755537679016,0.2615613925059302,B2,24,1.0,6.0,8.0,2
0.10213951571479672,0.1926258466296938,0.2971740362118767,baseline,24,1.0,12.0,8.0,0
0.10260609165521407,0.19640792168404284,0.3341772556499807,B2,24,1.0,12.0,8.0,0
0.14108720298960745,0.24717260270317176,0.4516484896367355,baseline,24,1.0,12.0,8.0,1
0.13512711969395508,0.23650213572751203,0.3156013468642365,B2,24,1.0,12.0,8.0,1
0.13390337175826533,0.24392687162270496,0.3576771065021347,baseline,24,1.0,12.0,8.0,2
0.1369367884873507,0.24246387874027486,0.3675420555566222,B2,24,1.0,12.0,8.0,2
0.17651140039009677,0.27009987414742787,0.4124808769469593,baseline,24,1.0,24.0,8.0,0
0.18947818832861119,0.2685542138001076,0.4377244200217082,B2,24,1.0,24.0,8.0,0
0.20765046472333096,0.30822435760732336,0.5267366244692195,baseline,24,1.0,24.0,8.0,1
0.2005545415237726,0.3063679288544865,0.4411800116348499,B2,24,1.0,24.0,8.0,1
0.21734623260573815,0.32516285368941505,0.5465977597213881,baseline,24,1.0,24.0,8.0,2
0.23225178224453177,0.34092244286297146,0.5102464840412078,B2,24,1.0,24.0,8.0,2
0.26986220045413156,0.389450531556655,0.6611773736925892,baseline,24,1.0,48.0,8.0,0
0.26977068731342113,0.3655913587693447,0.7180338202856126,B2,24,1.0,48.0,8.0,0
0.31369089528252564,0.43536687084224696,0.7015566210400859,baseline,24,1.0,48.0,8.0,1
0.3011185736586445,0.42186117307825716,0.8098368807355487,B2,24,1.0,48.0,8.0,1
0.2864174620011846,0.4469605376323848,0.6508882251033692,baseline,24,1.0,48.0,8.0,2
0.29120368764348664,0.4273384693720205,0.6786072634893107,B2,24,1.0,48.0,8.0,2
