egap_avg,egap_p90,egap_max,method,N,tau_xy,rate_total,off,seed
0.08162794499158253,0.1841361614564696,0.3197164501425695,baseline,24,1.0,6.0,8.0,0
0.08564005954900913,0.1837444030608842,0.3085973258316997,B2,24,1.0,6.0,8.0,0
0.09872696460242504,0.19023549950806715,0.2810700502136347,baseline,24,1.0,6.0,8.0,1
0.12293628038506792,0.22948529161056008,0.3545914110789558,B2,24,1.0,6.0,8.0,1
0.0783253034902458,0.1753825006371347,0.2718974598348803,baseline,24,1.0,6.0,8.0,2
0.06314831920896043,0.16465357626720417,0.262650128939358,B2,24,1.0,6.0,8.0,2
0.10213951571479672,0.1926258466296938,0.2971740362118767,baseline,24,1.0,12.0,8.0,0
0.10345018831932695,0.19662270978546592,0.3331221928315243,B2,24,1.0,12.0,8.0,0
0.14108720298960745,0.24717260270317176,0.4516484896367355,baseline,24,1.0,12.0,8.0,1
0.13636345146138243,0.2369265701518561,0.3167073899275625,B2,24,1.0,12.0,8.0,1
0.13390337175826533,0.24392687162270496,0.3576771065021347,baseline,24,1.0,12.0,8.0,2
0.13753910052066629,0.24346769647103825,0.3684412832614537,B2,24,1.0,12.0,8.0,2
0.17651140039009677,0.27009987414742787,0.4124808769469593,baseline,24,1.0,24.0,8.0,0
0.1869831502269085,0.26797896075315203,0.4196404094831422,B2,24,1.0,24.0,8.0,0
0.20765046472333096,0.30822435760732336,0.5267366244692195,baseline,24,1.0,24.0,8.0,1
0.20381623606344518,0.30891990704579747,0.4418737610267166,B2,24,1.0,24.0,8.0,1
0.21734623260573815,0.32516285368941505,0.5465977597213881,baseline,24,1.0,24.0,8.0,2
0.23422522647905364,0.34019133985711925,0.5802305313536825,B2,24,1.0,24.0,8.0,2
0.26986220045413156,0.389450531556655,0.6611773736925892,baseline,24,1.0,48.0,8.0,0
0.27194325751123055,0.3675503916957285,0.6354462396581271,B2,24,1.0,48.0,8.0,0
0.31369089528252564,0.43536687084224696,0.7015566210400859,baseline,24,1.0,48.0,8.0,1
0.29569659232839235,0.42206726932286376,0.7654684956492768,B2,24,1.0,48.0,8.0,1
0.2864174620011846,0.4469605376323848,0.6508882251033692,baseline,24,1.0,48.0,8.0,2
0.28944851240721,0.43872518695973345,0.6811860326984422,B2,24,1.0,48.0,8.0,2
