tau_fit,tau_fit_r2,egap_peak,egap_final,egap_late_std,method,N,tau_xy,dt,T_FF,k_e_tau,Pe,seed,init_radius
1.9584245649138383,0.9984411293201716,0.306129615692311,1.1039563689553444e-14,0.0,baseline,8,0.5,0.01,0.5,31.25,0.16,,
1.174422462982741,0.8935209238530917,0.306129615692311,7.237018719900367e-11,6.855926696757361e-07,B2,8,0.5,0.01,0.5,31.25,0.16,,
2.0121902561748835,0.9820405344999268,0.3060147555292838,3.747134875186649e-15,7.888609052210118e-31,baseline,8,1.0,0.01,1.0,31.25,0.08,,
2.539495937661893,0.8032464234206269,0.3060147555292838,7.90261376433296e-09,8.036425742580722e-06,B2,8,1.0,0.01,1.0,31.25,0.08,,
8.749199606824437,0.9597196466042952,0.2339848161223129,4.641689483383615e-08,7.799229564431717e-08,baseline,16,0.5,0.01,0.5,15.625,0.32,,
1.048553499484682,0.8760453923511999,0.2339848161223129,0.0002529898088361,0.0004248716221064,B2,16,0.5,0.01,0.5,15.625,0.32,,
8.123724517350436,0.9664964465391128,0.2339673691221732,1.980721924697549e-08,3.832130522582596e-08,baseline,16,1.0,0.01,1.0,15.625,0.16,,
2.5617885382830727,0.9053952062766908,0.2339673691221732,0.0003394536897581,0.0006564395497133,B2,16,1.0,0.01,1.0,15.625,0.16,,
20.280389103011284,0.9438469514494534,0.1957448410860482,0.0001305945064243,4.7934502169505786e-05,baseline,24,0.5,0.01,0.5,10.416666666666666,0.48,,
1.0080544854623457,0.903568133556433,0.1957448410860482,0.0011551064783448,0.0004241713945048,B2,24,0.5,0.01,0.5,10.416666666666666,0.48,,
19.475477659210625,0.9396504871881934,0.1958032183200483,0.0001165610305361,4.423759229160309e-05,baseline,24,1.0,0.01,1.0,10.416666666666666,0.24,,
2.172055529313077,0.9327460206214924,0.1958032183200483,0.001408583380337,0.0005352654400645,B2,24,1.0,0.01,1.0,10.416666666666666,0.24,,
2.1853848385058456,0.9946398236683224,0.3061612166506581,6.608555905165085e-05,0.06869845353868,baseline,8,0.2,0.01,0.2,31.25,0.3999999999999999,,
2.072276421862853,0.8449040744682459,0.3061612166506581,0.000390190648897,0.0665768722079286,B2,8,0.2,0.01,0.2,31.25,0.3999999999999999,,
9.075090276553285,0.9603458450872614,0.2339792585513126,0.0033138436038323,0.0051878887613634,baseline,16,0.2,0.01,0.2,15.625,0.7999999999999999,,
1.53940950212109,0.7818502644553565,0.2339792585513126,0.0042800448061386,0.0445882964927996,B2,16,0.2,0.01,0.2,15.625,0.7999999999999999,,
20.717206062233203,0.9494682059153008,0.1957127612351918,0.0023315577303458,0.0008394269656755,baseline,24,0.2,0.01,0.2,10.416666666666666,1.2,,
0.6128124616521824,0.9022905691204308,0.1957127612351918,0.0033271139138248,0.0394520262875736,B2,24,0.2,0.01,0.2,10.416666666666666,1.2,,
8.824431759497545,0.9596222306628436,0.2341070749373855,0.0001001079386165,0.0001652833067709,baseline,16,0.5,0.02,0.5,15.625,0.64,,
1.0352919278028112,0.9108245579432795,0.2341070749373855,0.0029458439293453,0.0481590498991328,B2,16,0.5,0.02,0.5,15.625,0.64,,
9.038963408850035,0.9596382059047098,0.2338535866733716,4.689114336202287e-09,7.335836533611997e-09,baseline,16,0.5,0.05,0.5,15.625,1.6,,
0.9383886304924808,0.96976099446655,0.2338535866733716,0.0028270960776739,0.0515644776989965,B2,16,0.5,0.05,0.5,15.625,1.6,,
9.296453696657238,0.9587559045751,0.2345530933335352,4.909563046244537e-15,1.0345192757119225e-16,baseline,16,0.5,0.1,0.5,15.625,3.2,,
0.98885870019459,0.9674195265440212,0.2345530933335352,0.0052744244059272,0.0687899635484042,B2,16,0.5,0.1,0.5,15.625,3.2,,
7.297405368569973,0.9891633742591297,0.2340959297961678,0.0017642398996673,0.005482363624306831,baseline,16,2.0,0.01,2.0,15.625,0.08,0.0,0.0
5.09961349331939,0.9326518501067723,0.2340959297961678,0.0035187599585109,0.017131357873021873,B2,16,2.0,0.01,2.0,15.625,0.08,0.0,0.0
17.906498894361064,0.9471492629230669,0.1956651476217421,0.0019408024804844,0.0007943484726473602,baseline,24,2.0,0.01,2.0,10.416666666666666,0.12,0.0,0.0
4.863460651115518,0.9429938817708884,0.1956651476217421,0.0041170448339046,0.015055794451521633,B2,24,2.0,0.01,2.0,10.416666666666666,0.12,0.0,0.0
