method,rate_total,seed,t_fail,node,w_e,gap_next,gap_prev,lb_max,w_clip_floor,w_full,gmax_pre,egap_pre,alive_pre,gmax_peak,t_peak_rel,gmax_first,alive_first,gap_rad_first,floor_first,gap_rad_peak,alive_peak,arc_peak_m,geom_floor,n_concurrent,peak_late,m_nvals,m_shift,m_unstable,isolated,rel_floor,at_floor,above_floor,below_floor,range_aa,c_hops,fd_timeout
baseline,12.0,0,52.600000000000506,22,1.5,8.0,27.20000000000053,1.0123528684788872,False,True,1.0563682105866647,0.0395290827445092,24.0,1.8133304069023743,0.24999999999862865,1.8133304069023743,23.0,0.4953691725961295,1.9130434782608696,0.4953691725961295,23.0,9.90738345192259,1.9130434782608696,0,False,2,-1.0,False,True,0.9478772581535139,False,False,True,8.4,1.608872490863482,0.25
baseline,12.0,0,66.80000000000048,2,1.5,5.09999999999971,6.199999999999974,0.9923359141855909,False,True,1.0354809539327905,0.042979828394918,24.0,1.8429746394170283,0.2999999999978513,1.8429746394170283,23.0,0.5034674424299856,1.9130434782608696,0.5034674424299856,23.0,10.069348848599713,1.9130434782608696,0,False,2,-1.0,False,True,0.963373106967992,False,False,True,8.4,1.608872490863482,0.25
baseline,12.0,0,71.90000000000019,15,1.5,2.90000000000029,5.09999999999971,1.112152870606019,False,True,1.1627052738153836,0.0548027366960018,23.0,1.8661320893952889,0.2999999999978513,1.8661320893952889,22.0,0.5329660784247645,1.9090909090909092,0.5329660784247645,22.0,10.65932156849529,1.9090909090909092,0,False,2,-1.0,False,True,0.977497761111818,False,False,True,8.4,1.608872490863482,0.25
baseline,12.0,0,75.39999999999999,24,1.5,3.099999999999824,0.5999999999995111,1.1776966249374596,False,True,1.2312282897073443,0.1570333870430541,23.0,1.4598713520698976,0.4499999999978428,1.4576502974079248,22.0,0.416303951439974,1.9090909090909092,0.4169382831680899,22.0,8.338765663361798,1.9090909090909092,1,False,2,-1.0,False,False,0.7646945177508987,False,False,True,8.4,1.608872490863482,0.25
baseline,12.0,0,78.49999999999982,5,0.6,0.10000000000002274,3.099999999999824,1.035218580250587,True,False,1.0845147031196627,0.0510924797604299,22.0,1.8599402483056453,0.2999999999978513,1.8599402483056453,21.0,0.5564928209707611,1.9047619047619047,0.5564928209707611,21.0,11.129856419415223,1.9047619047619047,1,False,3,-1.0,True,False,0.9764686303604638,False,False,True,8.4,1.608872490863482,0.25
baseline,12.0,0,78.59999999999984,21,1.3000000000003524,1.3000000000003524,0.10000000000002274,1.030308171711524,False,False,1.079370465602549,0.0497325223960831,22.0,1.8599402483056453,0.19999999999782858,1.8599402483056453,21.0,0.5564928209707611,1.9047619047619047,0.5564928209707611,21.0,11.129856419415223,1.9047619047619047,1,False,3,-1.0,True,False,0.9764686303604638,False,False,True,8.4,1.608872490863482,0.25
baseline,12.0,0,85.29999999999943,12,1.2000000000003865,1.2000000000003865,1.8999999999994373,1.1042532735678863,False,False,1.1568367627854046,0.1181967386697496,22.0,1.759782083986115,0.3499999999978485,1.7576933907331975,21.0,0.5259006327229283,1.9047619047619047,0.52652556828283,21.0,10.5305113656566,1.9047619047619047,0,False,2,-1.0,False,True,0.9238855940927104,False,False,True,8.4,1.608872490863482,0.25
baseline,12.0,0,101.89999999999849,8,1.5,2.6999999999998323,8.599999999999042,0.9905418404969851,False,True,1.0336088770403322,0.0221944094830104,24.0,1.9706727821652952,0.34999999999783427,1.97061163197722,23.0,0.5383355674868024,1.9130434782608696,0.5383522726156391,23.0,10.767045452312782,1.9130434782608696,0,False,2,-1.0,False,True,1.0301244088591315,False,True,False,8.4,1.608872490863482,0.25
baseline,12.0,0,104.59999999999832,23,1.3999999999999204,1.3999999999999204,2.6999999999998323,1.3694484544263938,False,False,1.4316961114457754,0.1420861004869338,23.0,1.776689577755925,0.29999999999786553,1.776689577755925,22.0,0.5074213568352333,1.9090909090909092,0.5074213568352333,22.0,10.148427136704665,1.9090909090909092,0,False,2,-1.0,False,True,0.930646921681675,False,False,True,8.4,1.608872490863482,0.25
baseline,12.0,0,105.99999999999824,7,1.5,3.9000000000002473,1.3999999999999204,1.1612660895981086,False,True,1.216564474817066,0.1029822269307908,22.0,2.060315430445735,0.39999999999785985,2.05884278019021,21.0,0.6160043193468523,1.9047619047619047,0.6164449352729537,21.0,12.328898705459075,1.9047619047619047,0,False,2,-1.0,False,True,1.081665600984011,False,True,False,8.4,1.608872490863482,0.25
