method,range_aa,seed,effort_mean_v2,sat_frac,fairness_p95
baseline,6.3,0,0.010136708879654677,0.0,0.9491411483140734
baseline,6.3,1,0.007924299640709176,0.0,0.9479937495821009
baseline,6.3,2,0.010846770755553221,0.0,0.9499834088182947
baseline,6.3,3,0.011388918443809454,0.0,0.9548637578923925
baseline,6.3,4,0.009467562769925855,0.0,0.9481618093160716
baseline,6.3,5,0.009996263476374393,0.0,0.9494763922416222
baseline,6.3,6,0.00989731236767638,0.0,0.9493088002709577
baseline,6.3,7,0.00943522403135386,0.0,0.9475414905309849
baseline,8.4,0,7.405483108730863e-05,0.0,0.05005165712766486
baseline,8.4,1,7.770058003080148e-05,0.0,0.05344079885756741
baseline,8.4,2,7.71069110185037e-05,0.0,0.05275027615080712
baseline,8.4,3,7.805044137929886e-05,0.0,0.05253516847116472
baseline,8.4,4,7.714110200601952e-05,0.0,0.052327925823202996
baseline,8.4,5,7.701901099979492e-05,0.0,0.05085597647446494
baseline,8.4,6,7.64115554990482e-05,0.0,0.052584424555286724
baseline,8.4,7,7.481236569529128e-05,0.0,0.05031605455736717
B2,6.3,0,0.010136708879654677,0.0,0.9491411483140734
B2,6.3,1,0.007924299640709176,0.0,0.9479937495821009
B2,6.3,2,0.010846770755553221,0.0,0.9499834088182947
B2,6.3,3,0.015707932815368194,0.0,0.9607752203054672
B2,6.3,4,0.018497370839310457,0.0,0.9763257286262971
B2,6.3,5,0.009996263476374393,0.0,0.9494763922416222
B2,6.3,6,0.00989731236767638,0.0,0.9493088002709577
B2,6.3,7,0.011067527322880424,0.0,0.9519460799683389
B2,8.4,0,9.271951607523234e-05,0.0,0.04601956919361039
B2,8.4,1,9.680515977760932e-05,0.0,0.04860629241899606
B2,8.4,2,9.600438673466506e-05,0.0,0.04922368959817172
B2,8.4,3,9.671006640660427e-05,0.0,0.04951529477603858
B2,8.4,4,9.591022544380668e-05,0.0,0.0456497004539594
B2,8.4,5,9.609837273282595e-05,0.0,0.0458407596296765
B2,8.4,6,9.510296115450647e-05,0.0,0.04498824855891711
B2,8.4,7,9.364796925473616e-05,0.0,0.04656452855525367
