N,dt,sec_per_hop,c,hop_r2,t_dissem,pred_c_halfN_dt,coverage,max_hop
24,0.01,0.00505980861244,0.5059808612440083,0.6423586099245169,0.2099999999999333,0.060717703349281005,1.0,23.0
24,0.05,0.0270591250854407,0.5411825017088157,0.8067439831636505,1.099999999999988,0.3247095010252894,1.0,23.0
32,0.01,0.0047723029045642,0.4772302904564218,0.5609156784606943,0.2599999999999323,0.07635684647302748,1.0,31.0
32,0.05,0.025796161825726,0.5159232365145214,0.5669411473817648,1.399999999999987,0.41273858921161716,1.0,31.0
40,0.01,0.0060051802735183,0.6005180273518311,0.5856633675906057,0.3299999999999308,0.12010360547036623,1.0,39.0
40,0.05,0.027668876916701,0.5533775383340218,0.9270167192791652,1.5499999999999865,0.5533775383340219,1.0,39.0
50,0.01,0.006054492512479,0.6054492512479067,0.9490858635124632,0.3699999999999299,0.15136231281197668,1.0,49.0
50,0.05,0.0289979201331113,0.5799584026622274,0.918660310525401,1.699999999999986,0.7249480033277843,1.0,49.0
75,0.01,0.0062593884913358,0.6259388491335847,0.9798086252757248,0.5299999999999265,0.23472706842509425,1.0,74.0
75,0.05,0.0326512508131762,0.6530250162635257,0.940120126724412,2.5999999999999828,1.2244219054941108,1.0,74.0
100,0.01,0.0058301451302674,0.5830145130267405,0.863817019321939,0.6599999999999238,0.2915072565133702,1.0,99.0
100,0.05,0.0299827642195188,0.5996552843903779,0.967256949767174,3.249999999999986,1.4991382109759446,1.0,99.0
