method,N,tau_fit,tau_fit_r2,egap_final,egap_late_std,dt_telem,telemetry_path
B2,24,2.172055529313077,0.9327460206214924,0.001408583380337,0.000535265440064561,0.009999999999999787,C:\Users\laerc\OneDrive\Documents\PUC\Laércio - Doutorado\12 Códigos\soliton_encirclement_v3\experiments\scaling_law\figure_runs\B2_N24\target_telemetry.csv
B2,40,2.131047026224527,0.9483704223086206,0.0019489358962452,0.00020851200423760443,0.009999999999999787,C:\Users\laerc\OneDrive\Documents\PUC\Laércio - Doutorado\12 Códigos\soliton_encirclement_v3\experiments\scaling_law\figure_runs\B2_N40\target_telemetry.csv
B2,50,2.115469243502772,0.9518134313901964,0.0015999500681703,0.00012812063998205952,0.009999999999999787,C:\Users\laerc\OneDrive\Documents\PUC\Laércio - Doutorado\12 Códigos\soliton_encirclement_v3\experiments\scaling_law\figure_runs\B2_N50\target_telemetry.csv
B2,75,2.100013950093048,0.9630922437736106,0.0015364439929237,8.711988720925615e-05,0.009999999999999787,C:\Users\laerc\OneDrive\Documents\PUC\Laércio - Doutorado\12 Códigos\soliton_encirclement_v3\experiments\scaling_law\figure_runs\B2_N75\target_telemetry.csv
B2,100,2.087371795995322,0.970732957147685,0.0013496428375537,9.955800769657493e-05,0.009999999999999787,C:\Users\laerc\OneDrive\Documents\PUC\Laércio - Doutorado\12 Códigos\soliton_encirclement_v3\experiments\scaling_law\figure_runs\B2_N100\target_telemetry.csv
baseline,24,19.475477659210625,0.9396504871881934,3.292418977871937e-05,1.249708806541134e-05,0.00999999999999801,C:\Users\laerc\OneDrive\Documents\PUC\Laércio - Doutorado\12 Códigos\soliton_encirclement_v3\experiments\scaling_law\gain_runs\baseline_N24\target_telemetry.csv
baseline,40,54.78771697841759,0.9195871765719007,0.0026833349403703,0.00026042991757874645,0.00999999999999801,C:\Users\laerc\OneDrive\Documents\PUC\Laércio - Doutorado\12 Códigos\soliton_encirclement_v3\experiments\scaling_law\gain_runs\baseline_N40\target_telemetry.csv
baseline,50,85.34918617265048,0.9147672080182548,0.0055840559665985,0.00032510047756958066,0.00999999999999801,C:\Users\laerc\OneDrive\Documents\PUC\Laércio - Doutorado\12 Códigos\soliton_encirclement_v3\experiments\scaling_law\gain_runs\baseline_N50\target_telemetry.csv
baseline,75,183.55130079796456,0.901158196770484,0.001266039779169,3.070702509305976e-05,0.009999999999990905,C:\Users\laerc\OneDrive\Documents\PUC\Laércio - Doutorado\12 Códigos\soliton_encirclement_v3\experiments\scaling_law\baseline_long_runs\baseline_N75\target_telemetry.csv
baseline,100,311.3823470848171,0.8911431935040149,0.0009674522925653,1.2900866727307972e-05,0.009999999999990905,C:\Users\laerc\OneDrive\Documents\PUC\Laércio - Doutorado\12 Códigos\soliton_encirclement_v3\experiments\scaling_law\baseline_long_runs\baseline_N100\target_telemetry.csv
