method,rate_total,seed,gmax_avg,gmax_p90,gmax_p99,gmax_max,egap_avg,n_samples,frac_gt_1.25,frac_gt_1.5,frac_gt_1.75,frac_gt_2
baseline,12.0,0,1.24835531459647,1.7002516819548983,2.0236109571823877,2.147966352959605,0.10213951571479672,13500,0.31325925925925924,0.16207407407407406,0.08096296296296296,0.013111111111111112
baseline,12.0,1,1.3753167518966387,1.863919229413223,2.2606046711568575,2.5167081470398958,0.14108720298960745,13500,0.5244444444444445,0.28888888888888886,0.16548148148148148,0.04948148148148148
baseline,12.0,2,1.3506844314206883,1.8463328895350037,2.1187639840352235,2.2664166522876945,0.13390337175826533,13500,0.49244444444444446,0.2637777777777778,0.14555555555555555,0.036222222222222225
baseline,24.0,0,1.4752930867744138,1.9215056001449171,2.542380063753301,2.771906888440785,0.17651140039009677,13500,0.7148888888888889,0.33696296296296296,0.2008888888888889,0.07844444444444444
baseline,24.0,1,1.5475757582455387,2.0061889123885868,2.453422541042572,3.1197648387004406,0.20765046472333096,13500,0.8144444444444444,0.4524444444444444,0.27244444444444443,0.10555555555555556
baseline,24.0,2,1.6018154068597112,2.0814685063168588,2.9236923812657643,3.058246866394688,0.21734623260573815,13500,0.8396296296296296,0.5150370370370371,0.32837037037037037,0.13311111111111112
baseline,48.0,0,1.7162566761727525,2.187666415469755,2.9817520927897743,3.4853906599227766,0.26986220045413156,13500,0.9275555555555556,0.665037037037037,0.43096296296296294,0.18155555555555555
baseline,48.0,1,1.8294131716658675,2.3228112163591192,3.199993416434679,3.628430036348929,0.31369089528252564,13500,0.9916296296296296,0.7865925925925926,0.5121481481481481,0.29214814814814816
baseline,48.0,2,1.7500591095548776,2.3287974496670993,2.843472124860458,3.060841638461407,0.2864174620011846,13500,0.9747407407407407,0.6681481481481482,0.42918518518518517,0.22807407407407407
baseline,6.0,0,1.2055573239419553,1.6437091743061298,1.9978500598063356,2.109605434093919,0.08162794499158253,13500,0.26325925925925925,0.13607407407407407,0.07466666666666667,0.009703703703703704
baseline,6.0,1,1.2620195981339337,1.7388452808905324,1.9602902623608267,2.113291933823291,0.09872696460242504,13500,0.34,0.17133333333333334,0.09474074074074074,0.00725925925925926
baseline,6.0,2,1.2074348048160284,1.6692433793663162,1.9356143130639218,2.200809207008036,0.0783253034902458,13500,0.2551851851851852,0.1385185185185185,0.07822222222222222,0.007407407407407408
B2,12.0,0,1.6139935477822906,1.8485455279717289,2.5641612341880764,2.722251505102544,0.4742696574170948,13500,0.9827407407407407,0.7742222222222223,0.15392592592592594,0.07118518518518518
B2,12.0,1,1.4273042394937716,1.8446400127261136,2.1124281254214288,2.221751813259835,0.21411759411998052,13500,0.6528148148148148,0.3714074074074074,0.14881481481481482,0.03503703703703704
B2,12.0,2,1.3667217691837577,1.847819848246542,2.1018674053483544,2.242464640141941,0.15553442637398546,13500,0.5696296296296296,0.2702222222222222,0.15059259259259258,0.029555555555555557
B2,24.0,0,1.4748882022856575,1.9443240709518002,2.470401475765532,2.683630128916419,0.21012848859316244,13500,0.7112592592592593,0.35414814814814816,0.1794814814814815,0.08748148148148148
B2,24.0,1,1.520017369541579,1.9159807703970828,2.227341329141943,2.6034280467541726,0.23536537461284499,13500,0.8977777777777778,0.43896296296296294,0.2051851851851852,0.06177777777777778
B2,24.0,2,1.6795692157504447,2.258582580562819,2.9296663836967918,3.2485915850430565,0.37214558378777446,13500,0.8915555555555555,0.6366666666666667,0.3482222222222222,0.19503703703703704
B2,48.0,0,1.7137892797078054,2.190051726248294,2.696960081811561,2.8977371947032697,0.3577525541551353,13500,0.9902962962962963,0.6656296296296297,0.36007407407407405,0.20644444444444446
B2,48.0,1,1.9760342710386252,2.580813085672375,3.8110553389876825,4.340723138750487,0.4618197343168989,13500,1.0,0.8887407407407407,0.5884444444444444,0.40140740740740743
B2,48.0,2,1.8550634770317873,2.431010735179012,3.2093607691896513,3.4690887407027,0.4273688570614159,13500,0.9597037037037037,0.7781481481481481,0.5174074074074074,0.3302222222222222
B2,6.0,0,1.1497362865910474,1.5546567856082836,1.9083152378361279,2.0201764293964484,0.05848582526447147,13500,0.1557037037037037,0.11318518518518518,0.058888888888888886,0.0023703703703703703
B2,6.0,1,1.330162130656706,1.7204445733614704,2.068615300175552,2.116825970677268,0.16845706072260253,13500,0.4597777777777778,0.25696296296296295,0.0937037037037037,0.02259259259259259
B2,6.0,2,1.1581380632908136,1.589167205604628,1.9266858786400543,2.0336741327473336,0.05726638805563688,13500,0.1771111111111111,0.11592592592592593,0.06866666666666667,0.0025925925925925925
