dt,variant,N,n,median,min,max,r2_median,settled_frac,n_settled,hist,dev_frac,flag_gt10pct
0.01,V2_baseline_fixed,24,3,7.081980599844005,7.0813261227255095,7.082432915064647,0.9621719851639844,1.0,3,7.08,0.00027974574067870427,False
0.01,V2_baseline_fixed,40,3,12.257849700664696,12.239637908962626,12.263244969306829,0.9493059195567694,1.0,3,12.26,-0.00017539146291219653,False
0.01,V2_baseline_fixed,50,3,1949.3780570760875,201.2550050900132,6862.04595700759,0.005830938229728,0.0,0,140.1,12.914190271777928,True
0.01,V1_baseline_norm,24,3,19.489245999164964,19.475477659210625,19.497725311225807,0.9398954214279794,0.0,0,19.48,0.0004746406142178669,False
0.01,V1_baseline_norm,40,3,54.72914882728022,54.693329199910295,54.78771697841759,0.9193576621857956,1.0,3,54.79,-0.0011106255287420944,False
0.01,V1_baseline_norm,50,3,85.40573855453898,85.34918617265048,85.51130567490594,0.9147672080182548,1.0,3,85.35,0.0006530586354890519,False
0.01,V3_A_s05,24,3,11.665744763105604,11.625290426553963,11.694667876151236,0.7658265850666559,0.0,0,11.63,0.00307349639773026,False
0.01,V3_A_s05,40,3,41.86186719089248,41.80885698613988,42.0212019804495,0.7263655848269984,0.0,0,42.02,-0.003763274847870554,False
0.01,V3_A_s05,50,3,74.84138889920322,74.71026426739306,75.06808039048715,0.7586351238359117,0.0,0,74.71,0.001758652110871776,False
0.01,V4_Bmin_s05,24,3,2.2993751307056858,2.296606900482693,2.300036523030995,0.9753117824747652,1.0,3,3.27,-0.2968271771542245,True
0.01,V4_Bmin_s05,40,3,2.624022469660616,2.6169882503725086,2.626142272752615,0.973192564435024,1.0,3,7.78,-0.6627220476014634,True
0.01,V4_Bmin_s05,50,3,2.748450774654798,2.746216480030627,2.7512084882680505,0.969883707369552,1.0,3,12.2,-0.7747171496184591,True
0.01,V5_Bmin_s10,24,3,20.039697386605784,20.026745136657645,20.054992920258798,0.9006089431332883,0.0,0,16.51,0.21379148313784266,True
0.01,V5_Bmin_s10,40,3,53.71087973910224,53.67584499170368,53.831927509211575,0.8831116198053096,1.0,3,43.0,0.24909022649074974,True
0.01,V5_Bmin_s10,50,3,81.57313179070977,81.56817084986623,81.8819350022512,0.8653266222378613,1.0,3,62.59,0.3032933662040224,True
0.01,V6_B2_s10,24,3,2.218485433274367,2.215968349092758,2.218880701937051,0.9693489423563628,1.0,3,2.17,0.022343517637957114,False
0.01,V6_B2_s10,40,3,3.0735688037859963,2.9839202910142384,3.08219526331113,0.9301802038912372,1.0,3,2.13,0.44299004872581993,True
0.01,V6_B2_s10,50,3,4.059986123806864,4.048736649712446,4.068781372500975,0.8710927172919809,1.0,3,2.12,0.9150877942485205,True
0.05,V2_baseline_fixed,24,3,7.832587182471104,7.82013886458638,7.8635468810590865,0.9562752892543565,1.0,3,7.08,0.10629762464281131,True
0.05,V2_baseline_fixed,40,3,12.333822228960626,12.273454488252783,12.3867765407187,0.9202757458139308,1.0,3,12.26,0.0060213889853691915,False
0.05,V2_baseline_fixed,50,3,17.192376975491804,17.14410673964452,17.390291761135966,0.9450903246723066,1.0,3,140.1,-0.8772849609172605,True
0.05,V1_baseline_norm,24,3,20.29324031809402,20.227309453018183,20.32407546635713,0.9434390890048172,0.0,0,19.48,0.04174744959414892,False
0.05,V1_baseline_norm,40,3,55.54947703021576,55.54193420608306,55.615333817235786,0.9186102293539452,1.0,3,54.79,0.0138615993833868,False
0.05,V1_baseline_norm,50,3,88.26070806749422,87.9642125312985,88.40727544152061,0.918754256944712,1.0,3,85.35,0.03410319938481812,False
0.05,V3_A_s05,24,3,13.498026649682885,13.481539285141425,13.576880714417673,0.7744164383406965,0.0,0,11.63,0.16062138002432363,True
0.05,V3_A_s05,40,3,42.31871236521809,42.31714225682526,42.36426737505992,0.7375031172885592,0.0,0,42.02,0.007108814022324773,False
0.05,V3_A_s05,50,3,77.71189420217372,77.48237578000983,78.68511673686142,0.7750279741449635,0.0,0,74.71,0.04018062109722568,False
0.05,V4_Bmin_s05,24,3,2.3717988471039098,2.343425289216948,2.397951930117437,0.9886835705551772,1.0,3,3.27,-0.27467925165018053,True
0.05,V4_Bmin_s05,40,3,2.6892628682425106,2.664906049286669,2.704137449081407,0.9908573306023354,1.0,3,7.78,-0.6543363922567467,True
0.05,V4_Bmin_s05,50,3,2.907568823284917,2.901399086442571,2.940672536856868,0.9884333158523596,1.0,3,12.2,-0.7616746866159904,True
0.05,V5_Bmin_s10,24,3,19.536210705736657,19.450372593153396,19.53874171220412,0.9132795112266568,0.0,0,16.51,0.18329562118332254,True
0.05,V5_Bmin_s10,40,3,53.54170033763526,53.41293782716827,53.65911073932545,0.8750439571791889,1.0,3,43.0,0.2451558218054712,True
0.05,V5_Bmin_s10,50,3,79.12802141323859,78.40818113126889,79.15932571378421,0.8435959913660223,1.0,3,62.59,0.26422785450133535,True
0.05,V6_B2_s10,24,3,2.143036703842615,2.140969119917366,2.1637317352541654,0.976146780539495,1.0,3,2.17,-0.012425482100177479,False
0.05,V6_B2_s10,40,3,2.6799704464651017,2.6545043264128902,2.767460912405376,0.9696197202890708,1.0,3,2.13,0.25820208754230134,True
0.05,V6_B2_s10,50,3,3.1988528824080427,3.09892403606718,3.2529831911997333,0.9495159701493314,1.0,3,2.12,0.5088928690603974,True
