method,scenario,motion,seed,speed,egap_avg,t_settle,egap_settle,Er_avg,Evr_avg,n_inj,has_event
baseline,none,const,0,3.0,7.924848180995646e-05,55.39999999999661,7.98375469654525e-06,3.2565356447663845e-11,8.484773412797719e-11,0,False
B2,none,const,0,3.0,7.924848180995646e-05,55.39999999999661,7.98375469654525e-06,3.2565356447663845e-11,8.484773412797719e-11,0,False
baseline,none,const,1,3.0,7.924848180995646e-05,55.39999999999661,7.98375469654525e-06,3.2565356447663845e-11,8.484773412797719e-11,0,False
B2,none,const,1,3.0,7.924848180995646e-05,55.39999999999661,7.98375469654525e-06,3.2565356447663845e-11,8.484773412797719e-11,0,False
baseline,none,const,2,3.0,7.924848180995646e-05,55.39999999999661,7.98375469654525e-06,3.2565356447663845e-11,8.484773412797719e-11,0,False
B2,none,const,2,3.0,7.924848180995646e-05,55.39999999999661,7.98375469654525e-06,3.2565356447663845e-11,8.484773412797719e-11,0,False
baseline,none,maneuver,0,3.0,0.0474077017775224,0.0,0.064941204373358,0.0303993700696983,0.7435103541644081,0,False
B2,none,maneuver,0,3.0,0.0474077017775224,0.0,0.064941204373358,0.0303993700696983,0.7435103541644081,0,False
baseline,none,maneuver,1,3.0,0.0523791672148692,0.0,0.0233317369397105,0.0320141551303407,0.7539190507036669,0,False
B2,none,maneuver,1,3.0,0.0523791672148692,0.0,0.0233317369397105,0.0320141551303407,0.7539190507036669,0,False
baseline,none,maneuver,2,3.0,0.048651670190823,36.210000000000434,0.0313246973986956,0.031649397868433,0.7435119745676394,0,False
B2,none,maneuver,2,3.0,0.048651670190823,36.210000000000434,0.0313246973986956,0.031649397868433,0.7435119745676394,0,False
baseline,fail,const,0,3.0,0.0109948303593045,42.53999999999917,0.0009776585847219,7.469882123057619e-07,3.68118027556252e-06,0,True
B2,fail,const,0,3.0,0.0012940695479861,6.6399999999998585,0.0001146545916862,9.663949158091465e-08,2.5031718159094537e-06,1,True
baseline,fail,const,1,3.0,0.0109994204668368,42.56999999999917,0.0009783125969953,7.472611446995929e-07,3.771966453838984e-06,0,True
B2,fail,const,1,3.0,0.001292105304269,6.649999999999858,0.0001144610760871,1.0769777083877189e-07,2.68885461844963e-06,1,True
baseline,fail,const,2,3.0,0.0110010844339595,42.57999999999916,0.0009780655727248,7.464885212628162e-07,3.733064431323271e-06,0,True
B2,fail,const,2,3.0,0.0012852889954082,6.649999999999858,0.0001137977683157,1.024166707245247e-07,2.538593925742517e-06,1,True
baseline,fail,maneuver,0,3.0,0.0479042286800158,4.20999999999991,0.0636324511931951,0.028912640393229,0.7132471136911912,0,True
B2,fail,maneuver,0,3.0,0.0455117355460835,1.449999999999969,0.063926664888507,0.0289113937734849,0.7132203180738442,1,True
baseline,fail,maneuver,1,3.0,0.0528162713328356,2.7999999999999403,0.0229667850982384,0.0303561138697566,0.72153362575901,0,True
B2,fail,maneuver,1,3.0,0.0546284989309887,27.3300000000022,0.0215475077342362,0.0303564871945759,0.7214647933362516,1,True
baseline,fail,maneuver,2,3.0,0.0498859605700692,83.08000000000823,0.030257585168508,0.0301427013216899,0.7119831549624974,0,True
B2,fail,maneuver,2,3.0,0.0582835749054037,83.13000000000825,0.0306493713772372,0.0301404859990108,0.7119455255140178,1,True
baseline,churn_dense,const,0,3.0,0.1771890626773051,64.93999999999895,0.3106353758120254,0.0008991693864069,0.0114644934163508,0,False
B2,churn_dense,const,0,3.0,0.1739750050595197,72.90000000000302,0.3100963224374109,0.0009277771154555,0.0118589161707635,5,False
baseline,churn_dense,const,1,3.0,0.2086176984265005,0.0,0.2867834526880777,0.0010263538070682,0.0120090508124377,0,False
B2,churn_dense,const,1,3.0,0.2094456433965009,0.0,0.2792134869446506,0.0010448730253728,0.0121331125732103,3,False
baseline,churn_dense,const,2,3.0,0.2104509277128877,97.00000000001536,0.2292027964281296,0.0011271785405401,0.0134564631081857,0,False
B2,churn_dense,const,2,3.0,0.2104537417487064,97.00000000001536,0.2074711077686006,0.0011362601898825,0.0135381103994184,3,False
baseline,churn_dense,maneuver,0,3.0,0.1883594349001703,46.04999999999848,0.2964404714248518,0.0369419848439672,0.7610895523391226,0,False
B2,churn_dense,maneuver,0,3.0,0.1852575811157443,66.93999999999997,0.2876494901164735,0.0376880172290007,0.7648798516546329,8,False
baseline,churn_dense,maneuver,1,3.0,0.2138644253281354,35.74000000000052,0.2025760331295759,0.0464909901610999,0.8003254936597041,0,False
B2,churn_dense,maneuver,1,3.0,0.2184852028831051,35.460000000000576,0.2054946658094908,0.0456104517507298,0.7958263744691959,4,False
baseline,churn_dense,maneuver,2,3.0,0.2273220628130416,97.00000000001536,0.2138178485684789,0.0420350802171502,0.7903801195494577,0,False
B2,churn_dense,maneuver,2,3.0,0.2279029546359743,97.00000000001536,0.1997189760031175,0.041976188962776,0.7899838285624675,4,False
baseline,loss,const,0,3.0,0.011078858142576664,42.67999999999914,0.00098828577768495,7.655683505186017e-07,4.030655953589748e-06,0,True
B2,loss,const,0,3.0,0.0013115649721238177,6.789999999999855,0.00011651279285825,1.1555290871500677e-07,3.0438634930766444e-06,1,True
baseline,loss,const,1,3.0,0.011074992982117069,42.67999999999914,0.0009880284460389499,7.656883872301201e-07,4.076049756755372e-06,0,True
B2,loss,const,1,3.0,0.0030821111733308937,14.970000000000386,0.00026510708615445,2.195594391302392e-07,3.7253239980865424e-06,1,True
baseline,loss,const,2,3.0,0.011081858529036094,42.74999999999913,0.0009888778775564,7.63745682081306e-07,4.0264572965956586e-06,0,True
B2,loss,const,2,3.0,0.010918421884784908,42.43999999999919,0.0009748380485136499,7.264197283123556e-07,3.6529731139705466e-06,1,True
baseline,loss,maneuver,0,3.0,0.05382939346055871,96.59000000001515,0.021770240324210502,0.027503812559778816,0.7244361428311021,0,True
B2,loss,maneuver,0,3.0,0.0534722174792014,96.60000000001514,0.021665468634488698,0.027504177836345983,0.7244243814560067,1,True
baseline,loss,maneuver,1,3.0,0.052185554650564236,95.9400000000148,0.08896324530091645,0.02941375672299697,0.7081517709847303,0,True
B2,loss,maneuver,1,3.0,0.05198715979160614,95.98000000001483,0.0883486699484328,0.029414233385431837,0.7081868900635448,1,True
baseline,loss,maneuver,2,3.0,0.048817916954053596,1.3499999999999712,0.06424162475867035,0.031868943123020785,0.7473908958671273,0,True
B2,loss,maneuver,2,3.0,0.04742317716906688,1.2999999999999723,0.06348852039064785,0.03186238729405005,0.7473350291275949,1,True
baseline,delay,const,0,3.0,0.011738107346237496,44.28999999999883,0.00120598437363825,9.361165756104644e-07,9.34375396275277e-06,0,True
B2,delay,const,0,3.0,0.014876106564477177,5.999999999999872,0.0148354361011525,9.607271770147659e-07,2.1413293551745493e-05,1,True
baseline,delay,const,1,3.0,0.011738545060107327,44.27999999999882,0.0012060301246845499,9.414581689917766e-07,9.446406565398903e-06,0,True
B2,delay,const,1,3.0,0.015624615215223379,5.999999999999872,0.0155920356852583,9.774507201964684e-07,2.169752917542888e-05,1,True
baseline,delay,const,2,3.0,0.011739474678205465,44.26999999999883,0.0012061515235704998,9.367430997864659e-07,9.247838647081457e-06,0,True
B2,delay,const,2,3.0,0.01553176839819081,6.009999999999872,0.0154986885956526,9.660589012139112e-07,2.143376457707068e-05,1,True
baseline,delay,maneuver,0,3.0,0.05555298436900598,4.23999999999991,0.07688503056670705,0.04772053703057377,1.0526110591765259,0,True
B2,delay,maneuver,0,3.0,0.054996075869187845,1.6599999999999646,0.07859462019465566,0.0477587080153516,1.05306772430705,1,True
baseline,delay,maneuver,1,3.0,0.060523280214983946,2.6599999999999433,0.0454808378414215,0.05028217543514794,1.077013401306965,0,True
B2,delay,maneuver,1,3.0,0.060456065514616464,2.4099999999999486,0.0445016827697641,0.05028592583544895,1.0771860188748346,1,True
baseline,delay,maneuver,2,3.0,0.058003416583045975,70.82000000000195,0.0379984334040198,0.04915894058012166,1.041681371644124,0,True
B2,delay,maneuver,2,3.0,0.06269388398987323,70.49000000000179,0.038612611277493755,0.049180881809640496,1.0419477468174465,1,True
baseline,churn_sparse,const,0,3.0,0.06469617685189241,10.519999999999774,0.10714944798641404,0.00019682290181293323,0.002695139752516433,0,False
B2,churn_sparse,const,0,3.0,0.06590068632535394,97.36000000001555,0.07325340548021685,0.0003212526481350855,0.004407251212323877,4,False
baseline,churn_sparse,const,1,3.0,0.0971544188591781,88.04000000001076,0.0533584042276335,0.00031793182522329646,0.0042952973756353666,0,False
B2,churn_sparse,const,1,3.0,0.09986458334390781,87.9000000000107,0.0713253686607156,0.00037898559452022903,0.00506949047057605,3,False
baseline,churn_sparse,const,2,3.0,0.061024672721628516,0.0,0.13819860109612025,0.0001690639166767629,0.002421613596710207,0,False
B2,churn_sparse,const,2,3.0,0.05800515249247891,0.0,0.1289339374792697,0.00024095018290730137,0.003337942090131706,5,False
baseline,churn_sparse,maneuver,0,3.0,0.09010487536072445,3.329999999999929,0.11028085205796355,0.032161091703410784,0.7359150569465397,0,False
B2,churn_sparse,maneuver,0,3.0,0.09112970507821479,75.94000000000457,0.0828706510369503,0.03189345762177542,0.7342840844629668,4,False
baseline,churn_sparse,maneuver,1,3.0,0.11206880654154928,87.77000000001063,0.0864092356580807,0.04127397198336603,0.7917642849521233,0,False
B2,churn_sparse,maneuver,1,3.0,0.11677207464982459,87.99000000001075,0.0762539137464124,0.04135106453855382,0.7923143049232018,4,False
baseline,churn_sparse,maneuver,2,3.0,0.09376224842612929,62.04999999999747,0.14128719319096222,0.0319294690017214,0.7273110302173467,0,False
B2,churn_sparse,maneuver,2,3.0,0.09125378955092893,87.45000000001046,0.18725035060268114,0.03197986888516697,0.7278952754993804,5,False
