method,scenario,motion,seed,speed,egap_avg,t_settle,egap_settle,Er_avg,Evr_avg,n_inj,has_event
baseline,churn_sparse,const,0,3.0,0.06469617685189241,10.519999999999774,0.10714944798641404,0.00019682290181293323,0.002695139752516433,0,False
B2,churn_sparse,const,0,3.0,0.044026287986326934,3.569999999999924,0.03718059386253695,0.00041798344577467176,0.005019136239293605,16,False
baseline,churn_sparse,const,1,3.0,0.0971544188591781,88.04000000001076,0.0533584042276335,0.00031793182522329646,0.0042952973756353666,0,False
B2,churn_sparse,const,1,3.0,0.09204556955824923,87.62000000001055,0.08107818130867366,0.0009529270425937052,0.011982725816343296,22,False
baseline,churn_sparse,const,2,3.0,0.061024672721628516,0.0,0.13819860109612025,0.0001690639166767629,0.002421613596710207,0,False
B2,churn_sparse,const,2,3.0,0.04551998500850761,0.0,0.10856971730251444,0.0004295450487918858,0.005591823679200192,13,False
baseline,churn_sparse,maneuver,0,3.0,0.09010487536072445,3.329999999999929,0.11028085205796355,0.032161091703410784,0.7359150569465397,0,False
B2,churn_sparse,maneuver,0,3.0,0.10562919587435946,inf,0.1495547693090003,0.03198824493244946,0.7338511815096079,20,False
baseline,churn_sparse,maneuver,1,3.0,0.11206880654154928,87.77000000001063,0.0864092356580807,0.04127397198336603,0.7917642849521233,0,False
B2,churn_sparse,maneuver,1,3.0,0.12240260717357232,0.0,0.18233354294362136,0.041356726906351594,0.7940884298861068,22,False
baseline,churn_sparse,maneuver,2,3.0,0.09376224842612929,62.04999999999747,0.14128719319096222,0.0319294690017214,0.7273110302173467,0,False
B2,churn_sparse,maneuver,2,3.0,0.0941469059011265,92.31000000001295,0.17348032894603765,0.031847778461772315,0.7265270361405366,13,False
baseline,churn_dense,const,0,3.0,0.1771890626773051,64.93999999999895,0.31063537581202544,0.0008991693864069461,0.01146449341635081,0,False
B2,churn_dense,const,0,3.0,0.15670685528058992,86.19000000000983,0.13863288378542435,0.0017662161728064095,0.020606437958989452,55,False
baseline,churn_dense,const,1,3.0,0.20861769842650052,0.0,0.2867834526880777,0.0010263538070682157,0.012009050812437758,0,False
B2,churn_dense,const,1,3.0,0.16575119968015015,0.0,0.20401345432567858,0.002271092535577585,0.024109323640020733,71,False
baseline,churn_dense,const,2,3.0,0.21045092771288776,97.00000000001535,0.2292027964281296,0.0011271785405401063,0.013456463108185733,0,False
B2,churn_dense,const,2,3.0,0.18113974264089458,97.00000000001535,0.22697920356291895,0.0029628243399451044,0.031240099931164847,72,False
baseline,churn_dense,maneuver,0,3.0,0.18835943490017037,46.04999999999848,0.29644047142485186,0.036941984843967296,0.7610895523391226,0,False
B2,churn_dense,maneuver,0,3.0,0.2134003687615063,72.90000000000302,0.26060654114229304,0.04022421588681211,0.776156881948556,59,False
baseline,churn_dense,maneuver,1,3.0,0.21386442532813543,35.74000000000052,0.20257603312957595,0.046490990161099977,0.8003254936597041,0,False
B2,churn_dense,maneuver,1,3.0,0.21745631618684766,63.90999999999842,0.2808326010493756,0.04737367048543089,0.8056508706934762,78,False
baseline,churn_dense,maneuver,2,3.0,0.2273220628130416,97.00000000001535,0.21381784856847896,0.042035080217150245,0.7903801195494577,0,False
B2,churn_dense,maneuver,2,3.0,0.23799750636940803,95.52000000001459,0.25562386124869807,0.03991053752499939,0.7747338664289848,78,False
