method,scenario,motion,seed,speed,egap_avg,t_settle,egap_settle,Er_avg,Evr_avg,n_inj,has_event
baseline,churn_sparse,maneuver,0,3.0,0.09010487536072445,3.329999999999929,0.11028085205796355,0.032161091703410784,0.7359150569465397,0,False
B2,churn_sparse,maneuver,0,3.0,0.07051291784237508,inf,0.0740519259494105,0.03228719782111427,0.7365606287592448,16,False
baseline,churn_sparse,maneuver,1,3.0,0.11206880654154928,87.77000000001063,0.0864092356580807,0.04127397198336603,0.7917642849521233,0,False
B2,churn_sparse,maneuver,1,3.0,0.09273200597289478,87.81000000001065,0.0564252661974083,0.04130364865227297,0.7932744970472069,22,False
baseline,churn_sparse,maneuver,2,3.0,0.09376224842612929,62.04999999999747,0.14128719319096222,0.0319294690017214,0.7273110302173467,0,False
B2,churn_sparse,maneuver,2,3.0,0.07843801477495711,61.9199999999974,0.12003323110318065,0.03189970348783758,0.7269442102515453,13,False
baseline,churn_dense,maneuver,0,3.0,0.18835943490017037,46.04999999999848,0.29644047142485186,0.036941984843967296,0.7610895523391226,0,False
B2,churn_dense,maneuver,0,3.0,0.14301699568321302,46.04999999999848,0.21739795412080745,0.03935567305587904,0.7717625849432901,58,False
baseline,churn_dense,maneuver,1,3.0,0.21386442532813543,35.74000000000052,0.20257603312957595,0.046490990161099977,0.8003254936597041,0,False
B2,churn_dense,maneuver,1,3.0,0.1852808545807393,35.74000000000052,0.19032549084848055,0.04554616026645957,0.7951680211743168,74,False
baseline,churn_dense,maneuver,2,3.0,0.2273220628130416,97.00000000001535,0.21381784856847896,0.042035080217150245,0.7903801195494577,0,False
B2,churn_dense,maneuver,2,3.0,0.18442179226604183,96.31000000001498,0.23242995617886497,0.040489503446084346,0.7784337261339148,76,False
