method,scenario,motion,seed,speed,egap_avg,t_settle,egap_settle,Er_avg,Evr_avg,n_inj,has_event
baseline,fail,const,0,3.0,0.010994830359304599,42.53999999999917,0.00097765858472195,7.469882123057619e-07,3.6811802755625202e-06,0,True
B2,fail,const,0,3.0,0.0014066334155635463,6.999999999999851,0.00012504450091145,9.458471851065061e-08,2.1992033694411524e-06,1,True
baseline,fail,const,1,3.0,0.010999420466836813,42.56999999999917,0.0009783125969953501,7.472611446995929e-07,3.7719664538389842e-06,0,True
B2,fail,const,1,3.0,0.0013923321276982027,6.979999999999851,0.00012382823868335,1.0505139925214285e-07,2.373942173172004e-06,1,True
baseline,fail,const,2,3.0,0.011001084433959503,42.57999999999916,0.0009780655727248,7.464885212628162e-07,3.733064431323271e-06,0,True
B2,fail,const,2,3.0,0.0014120132828184997,6.989999999999851,0.00012552421862845,9.966165213480339e-08,2.23854481603597e-06,1,True
baseline,fail,maneuver,0,3.0,0.047904228680015835,4.20999999999991,0.0636324511931951,0.028912640393229064,0.7132471136911912,0,True
B2,fail,maneuver,0,3.0,0.047038354378856666,1.4699999999999687,0.06434419638285695,0.028913596942865386,0.7132335051113202,1,True
baseline,fail,maneuver,1,3.0,0.052816271332835646,2.7999999999999403,0.02296678509823845,0.030356113869756642,0.72153362575901,0,True
B2,fail,maneuver,1,3.0,0.05209461248749936,2.1899999999999533,0.02245149034018715,0.0303593395612681,0.7215364075519872,1,True
baseline,fail,maneuver,2,3.0,0.049885960570069214,83.08000000000823,0.03025758516850805,0.03014270132168997,0.7119831549624974,0,True
B2,fail,maneuver,2,3.0,0.04846927864241992,83.08000000000823,0.030662115498624097,0.03014171981370754,0.7119982362019535,1,True
