method,scenario,motion,seed,speed,egap_avg,t_settle,egap_settle,Er_avg,Evr_avg,n_inj,has_event
baseline,fail,const,0,0.0,0.010975939997755854,42.50999999999918,0.0009766159984285,7.42201699806832e-07,3.6918724552019842e-06,0,True
B2,fail,const,0,0.0,0.0013684989694869693,6.959999999999852,0.00012174327928819999,1.0262852799371837e-07,2.2831205927690474e-06,1,True
baseline,fail,const,1,0.0,0.010987751751028335,42.56999999999917,0.0009779955646747498,7.446387999749863e-07,3.7965692932593277e-06,0,True
B2,fail,const,1,0.0,0.0013891029492166913,6.979999999999851,0.00012362937922685,1.0587318708083474e-07,2.3478458162816554e-06,1,True
baseline,fail,const,2,0.0,0.010997801441998975,42.589999999999165,0.00097883202880355,7.454362605042708e-07,3.765354561668983e-06,0,True
B2,fail,const,2,0.0,0.0013919729835673333,6.989999999999851,0.00012386657632775,1.0467060128095033e-07,2.413791538904956e-06,1,True
baseline,churn_sparse,const,0,0.0,0.0646743557743579,10.529999999999774,0.1070646962390484,0.00019786419684973645,0.00271498397488463,0,False
B2,churn_sparse,const,0,0.0,0.046856177830979194,3.5299999999999248,0.05323852474182695,0.0003032075004593719,0.003665392871875777,16,False
baseline,churn_sparse,const,1,0.0,0.09714890985444946,88.04000000001076,0.05335580469149025,0.0003181414664098224,0.004293595404824347,0,False
B2,churn_sparse,const,1,0.0,0.07444744334685044,95.47000000001456,0.0425052730476682,0.000599321222499491,0.007605096348327588,22,False
baseline,churn_sparse,const,2,0.0,0.06102334055398959,0.0,0.13806496075347413,0.00016865982787398634,0.0024140305782330146,0,False
B2,churn_sparse,const,2,0.0,0.04482727192992433,0.0,0.10489881541546055,0.00030644838007378984,0.004114493383717515,13,False
