method,scenario,motion,seed,speed,egap_avg,t_settle,egap_settle,Er_avg,Evr_avg,n_inj,has_event
baseline,stress,const,0,3.0,0.1383537221147732,97.10000000001538,0.2990195636804842,0.0006340787372288603,0.008415759640261424,0,False
B2,stress,const,0,3.0,0.12336471699738441,0.0,0.23833622392828718,0.0008901611563738529,0.011929492990619614,36,False
baseline,stress,const,1,3.0,0.17611022079666358,0.0,0.2561999714575519,0.0007621151923177294,0.00967451060510491,0,False
B2,stress,const,1,3.0,0.156622626901451,6.429999999999863,0.2432490790798961,0.0012667908412232324,0.015258804406042761,47,False
baseline,stress,const,2,3.0,0.1517482852135763,33.91000000000089,0.2003611772743181,0.0006131562169599405,0.00798172867325564,0,False
B2,stress,const,2,3.0,0.13226908628130493,3.609999999999923,0.19627075327143984,0.0009702213299616565,0.012107796354639457,41,False
baseline,stress,maneuver,0,3.0,0.15350750996713372,96.19000000001495,0.268954789274942,0.04650884069397109,0.8666403238005234,0,False
B2,stress,maneuver,0,3.0,0.1482428409454122,13.500000000000153,0.20636139341853116,0.04609290365480177,0.8644263106688246,43,False
baseline,stress,maneuver,1,3.0,0.18696434144729152,0.0,0.2551764313449713,0.046870180487436366,0.8642605521703202,0,False
B2,stress,maneuver,1,3.0,0.18516659717544195,0.0,0.22835328901577645,0.046428585644044916,0.8606991088369844,57,False
baseline,stress,maneuver,2,3.0,0.1631061703358524,40.58999999999956,0.2310811602811647,0.0429296057505032,0.8182057378144861,0,False
B2,stress,maneuver,2,3.0,0.14366891709466123,69.77000000000142,0.1732516790549822,0.043217144362923635,0.8196647885008855,44,False
